vrai_hop;rmdc;rdrg;SI;ATC1;Nfarm;Sum;p5;p25;p50;p75;p95
0;-p;001;1;A;1;12.22;12.22;12.22;12.22;12.22;12.22
0;-p;001;1;B;1;318.22;318.22;318.22;318.22;318.22;318.22
0;-p;001;1;C;1;3.78;3.78;3.78;3.78;3.78;3.78
0;-p;001;1;H;1;24.42;24.42;24.42;24.42;24.42;24.42
0;-p;001;1;J;1;522.36;522.36;522.36;522.36;522.36;522.36
0;-p;001;1;M;1;10.25;10.25;10.25;10.25;10.25;10.25
0;-p;001;1;N;1;18.35;18.35;18.35;18.35;18.35;18.35
0;-p;001;1;S;1;0.97;0.97;0.97;0.97;0.97;0.97
0;-p;001;2;A;3;46.28;10.44;10.44;14.27;21.57;21.57
0;-p;001;2;B;4;2634.13;300.21;429.77;595.69;887.29;1142.54
0;-p;001;2;C;3;36.74;7.06;7.06;11.48;18.2;18.2
0;-p;001;2;H;4;207.47;29.2;30.6;44.78;73.13;88.7
0;-p;001;2;J;4;1302.55;18.45;78.77;164.92;572.5;954.26
0;-p;001;2;L;4;3683.61;108.8;250.1;418.23;1591.7;2738.34
0;-p;001;2;M;4;67.38;2;5.67;9.34;28.02;46.7
0;-p;001;2;N;4;399.63;65.76;68.9;83.77;130.91;166.33
0;-p;001;2;R;1;14.42;14.42;14.42;14.42;14.42;14.42
0;-p;001;2;V;1;119.15;119.15;119.15;119.15;119.15;119.15
0;-p;001;3;A;33;1653.36;10.7;24.63;39.77;52.17;157.08
0;-p;001;3;B;33;24054.65;303.91;501.73;598.5;884.5;1390.4
0;-p;001;3;C;24;2362.45;1.88;7.49;12.56;53.96;498.57
0;-p;001;3;D;7;44.98;1.68;2.55;4.97;9.03;12.75
0;-p;001;3;H;32;2987.62;14.91;37.82;89.5;153.35;175.55
0;-p;001;3;J;33;71086.68;77.94;402.95;771.66;1469;10479.18
0;-p;001;3;L;27;18254.53;35.45;284.23;639.66;928.62;1431.31
0;-p;001;3;M;31;1505.92;3.34;17.66;47.81;62.83;94.64
0;-p;001;3;N;33;7572.69;13.19;104.34;162.3;359.66;520.33
0;-p;001;3;P;1;22.76;22.76;22.76;22.76;22.76;22.76
0;-p;001;3;R;12;2337.19;0.2;1.62;5.71;61.76;2079.65
0;-p;001;3;V;23;2069.68;4.28;8.86;68.79;142.86;277.16
0;-p;001;4;A;163;20292.85;14.25;34.81;63.62;123.26;488.7
0;-p;001;4;B;163;447316.25;270.06;766.92;1457.11;3037.57;9425.64
0;-p;001;4;C;160;33140.72;2.91;16.01;72.52;249.97;678.69
0;-p;001;4;D;102;1944.76;2.55;5.1;9.24;18.64;79.45
0;-p;001;4;G;4;20.67;4.07;4.4;5.33;5.93;5.93
0;-p;001;4;H;160;80855.85;18.39;34.27;102.98;247.96;1932.26
0;-p;001;4;J;163;605511.38;126.59;575.37;1204.95;4704.75;12531.53
0;-p;001;4;L;158;172055.82;78.5;291.23;745.54;1201.69;4683.81
0;-p;001;4;M;159;9180.63;7.07;16.33;37.36;60.28;206.38
0;-p;001;4;N;163;71226.46;45.68;114.69;235.33;497.08;1621.31
0;-p;001;4;P;9;338.21;11.89;12.71;29.56;58.72;88.68
0;-p;001;4;R;102;3410.42;0.63;2.13;9.22;26.36;72.02
0;-p;001;4;S;15;65.47;1.82;2.14;3.7;6.92;11.47
0;-p;001;4;V;146;35491.7;3.14;14.98;150.62;348.49;766.56
0;-p;002;1;A;1;39.97;39.97;39.97;39.97;39.97;39.97
0;-p;002;1;B;1;315.66;315.66;315.66;315.66;315.66;315.66
0;-p;002;1;C;1;37.59;37.59;37.59;37.59;37.59;37.59
