vrai_hop;rdrg;N;moy_gemid
0;001;166;666.37
0;002;121;2549
0;003;680;137.89
0;004;2116;848.86
0;005;455;190.9
0;020;639;228.87
0;021;3959;918.5
0;022;617;453.89
0;023;1172;1277.06
0;024;4287;245.53
0;025;2947;144.29
0;026;1560;1669.5
0;040;554;71.86
0;041;2820;6.54
0;042;9947;1.17
0;043;2046;0.65
0;044;3116;26.39
0;045;10357;2.85
0;046;6331;6.31
0;047;7823;0.88
0;048;6309;5.84
0;049;744;2.42
0;050;679;3.83
0;051;627;0
0;052;1983;2.4
0;053;13255;0.72
0;054;4205;0.23
0;055;1494;1.19
0;056;1343;0.59
0;057;9945;0.02
0;058;20101;13.99
0;070;498;60.75
0;071;5303;159.69
0;072;2530;55.45
0;073;6815;201.74
0;080;313;0
0;081;651;1.45
0;082;2708;1.24
0;090;342;174.37
0;091;584;5849.67
0;092;3280;184.17
0;093;7488;6.97
0;094;1918;4.45
0;095;489;7.19
0;096;981;2.22
0;097;8830;0.54
0;098;13918;12.74
0;110;1891;24.59
0;111;3732;0.24
0;112;1035;2.28
0;113;9763;0.06
0;114;3027;1.16
0;115;4669;0.81
0;120;1614;363.97
0;121;4087;178.26
0;122;554;146.93
0;130;1533;39.35
0;131;559;11.13
0;132;80;1.11
0;133;3895;8.17
0;134;4381;4.01
0;135;1482;3.81
0;136;9066;21.37
0;137;6204;6.45
0;138;357;0
0;139;26544;2.45
0;140;22754;2.28
0;141;11454;0.41
0;142;1312;6.93
0;143;3015;33.42
0;144;20994;2.6
0;160;134;2167.21
0;161;865;6634.99
0;162;862;4499.12
0;163;2693;4210.72
0;164;1;1242.49
0;165;2641;1598.28
0;166;4483;1358.75
0;167;726;3006.78
0;168;3284;1710.8
0;169;724;1378.11
0;170;398;5393.16
0;171;5891;5614.48
0;172;882;326.86
0;173;15439;1046.43
0;174;4530;1886.06
0;175;21462;1533.69
0;176;1934;4491.75
0;177;731;2509.94
0;178;619;24.42
0;179;8670;4.84
0;180;1132;68.82
0;190;10367;39.66
0;191;8427;63.85
0;192;23043;41.26
0;193;190;9.39
0;194;17579;5.82
0;195;1112;9.02
0;196;1206;12.12
0;197;7988;39.3
0;198;4807;32.72
0;199;3456;2.85
0;200;1386;25.07
0;201;17449;6.99
0;202;5340;8.88
0;203;5549;0.8
0;204;7437;1.15
0;205;583;5.45
0;206;1115;55.98
0;207;4981;9.73
0;220;5053;328.02
0;221;13518;491.11
0;222;601;48.7
0;223;1460;158.12
0;224;1955;80.46
0;225;13124;37.04
0;226;9897;66.46
0;227;8484;70.02
0;228;18545;92.47
0;229;2187;66.87
0;240;6771;30.09
0;241;8887;5.25
0;242;892;8.56
0;243;9222;1.43
0;244;7797;1.3
0;245;2884;2.23
0;246;1181;11.47
0;247;7091;1.95
0;248;607;7.54
0;249;26892;0.48
0;250;27279;2.56
0;260;1614;268.04
0;261;715;272.5
0;262;976;96.31
0;263;16262;229.29
0;264;1089;134.82
0;280;3949;16.34
0;281;4358;83.49
0;282;5338;42.84
0;283;4138;13.28
0;284;7838;85.68
0;300;385;2602.3
0;301;5568;1491.9
0;302;29455;1917.6
0;303;217;5429.92
0;304;5623;2620.53
0;305;211;120.57
0;306;1505;528.97
0;307;297;255.81
0;308;8882;367.24
0;309;1915;270.91
0;310;18335;333.81
0;311;87;9.14
0;312;896;100.03
0;313;22502;75.32
0;314;10252;51.07
0;315;25120;65.82
0;316;5777;39.79
0;317;7472;11.6
0;318;4403;11.88
0;319;3177;25.95
0;320;4850;197.72
0;340;1135;1.53
0;341;3020;1.24
0;342;9107;0.56
0;343;6210;9.59
0;344;487;3.2
0;345;357;1.15
0;346;2926;3.06
0;347;18465;4.86
0;348;3935;1.13
0;349;2096;3.12
0;350;3304;0.49
0;351;3620;0.94
0;360;842;32.09
0;361;3425;33.88
0;362;5772;32.61
0;363;12631;24.32
0;364;7613;29.4
0;380;1253;2.97
0;381;1390;0.61
0;382;1414;4.75
0;383;8055;0.3
0;384;6296;0.41
0;385;3187;0.97
0;400;265;198.93
0;401;402;165.14
0;402;226;46.19
0;403;10264;310.94
0;404;6169;101.86
0;405;1497;488.05
0;420;10478;1.39
0;421;4406;1.41
0;422;10121;2.14
0;423;445;8.97
0;424;2860;2.17
0;440;330;33.72
0;441;956;441.62
0;442;1516;168.42
0;443;2858;114.91
0;444;411;243.32
0;445;1688;107.93
0;446;13962;34.85
0;447;2456;465.27
0;460;4860;14.19
0;461;1330;20.56
0;462;760;2.99
0;463;13480;2.67
0;464;2101;9.84
0;465;9973;17.41
0;466;1406;22.48
0;467;2310;1.92
0;468;4870;11.65
0;480;4488;9.31
0;481;1202;110.1
0;482;9515;5.57
0;483;3921;11.15
0;484;2701;1.62
0;500;1227;6.78
0;501;2770;1.97
0;510;2015;130.97
0;511;511;134.6
0;512;805;79.9
0;513;23164;82.78
0;514;8758;316.25
0;515;1830;21.45
0;516;2206;48.2
0;517;2153;6.23
0;518;821;86.37
0;530;1192;26.94
0;531;853;0.61
0;532;1982;17.13
0;540;19948;0.52
0;541;505;2.47
0;542;824;4.91
0;543;377;16.52
0;544;2386;1.45
0;560;85664;0.03
0;561;926;0.93
0;562;1263;133.89
0;563;6979;0.01
0;564;965;0
0;565;938;0
0;566;8467;0.92
0;580;209;0.81
0;581;14;0
0;583;5;1065.67
0;590;12;86.53
0;591;33;14.38
0;592;14;253.41
0;593;103;5.3
0;600;20;241.43
0;601;72;12.86
0;602;140;7.51
0;603;161;1.95
0;610;18;210.68
0;611;90;1.26
0;612;129;4.64
0;613;60;2.83
0;614;296;1.25
0;620;12;304.08
0;621;83;11.44
0;622;123;8.19
0;623;57;1.98
0;624;212;0.49
0;625;97;0
0;626;169;1.25
0;630;70;906.35
0;631;81;207.5
0;632;153;70.39
0;633;378;3.91
0;634;220;8.2
0;635;43;3.93
0;636;318;0.71
0;637;1158;0.28
0;638;1653;0.33
0;639;229;1.98
0;640;386;0.15
0;650;262;218.07
0;651;726;22.71
0;660;1768;7.97
0;661;1543;3.52
0;662;250;0
0;663;8324;3.59
0;664;1599;4.41
0;680;457;195.53
0;681;1017;110.36
0;682;1006;76.98
0;683;959;115.54
0;690;1402;28.67
0;691;4057;26.86
0;692;937;7.01
0;693;26720;24.76
0;694;1797;26.31
0;710;710;344.02
0;711;1147;61.07
0;720;4824;14.02
0;721;2106;5.19
0;722;1622;1.06
0;723;4805;0.27
0;724;1984;2.73
0;740;788;304.7
0;750;556;0.32
0;751;5557;0.63
0;752;774;0.67
0;753;776;0.58
0;754;6423;1.32
0;755;1662;1.52
0;756;3212;1.17
0;757;6793;1.22
0;758;982;0.12
0;759;392;1.13
0;760;4794;0.1
0;770;965;0
0;771;1090;2.6
0;772;210;0.22
0;773;394;0
0;774;118;0
0;775;9213;0.67
0;776;1289;0.62
0;790;1098;12.29
0;791;3205;163.61
0;792;1138;127.49
0;810;1222;2.58
0;811;885;0.35
0;812;11453;0.65
0;813;3652;34.1
0;814;408;0
0;815;1381;1.59
0;830;42;3.62
0;831;29;14.96
0;832;342;8.6
0;833;72;1
0;840;652;1.37
0;850;2815;732.41
0;860;5951;4.08
0;861;4200;6.47
0;862;29212;8.83
0;871;11;83.54
0;872;25;235.4
0;873;48;74
0;890;33;41.47
0;891;186;10.68
0;892;86;1.08
0;893;298;2.61
0;894;142;1.45
0;910;549;885.02
0;911;487;268.35
0;930;570;16.27
0;931;95;14.67
0;950;5657;630.91
0;951;577;18.62
0;952;4139;52.89
0;955;185;0.67
0;956;2206;2.16
