vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;564;2;274;97;1431.9;2.3;3.9;7.8;17.6;60.8
0;564;3;35;15;273.8;1.3;2.8;4.1;23.7;86.7
0;564;4;1;1;4.1;4.1;4.1;4.1;4.1;4.1
0;565;1;756;55;360.3;1.1;3.2;4.1;6.3;22.3
0;565;2;58;5;21.9;0.4;1.6;1.8;4.2;13.9
0;566;1;6482;928;20704.3;1;4.1;8.2;25;59.7
0;566;2;4524;1232;38302;1.2;4.2;15.5;33.3;92.7
0;566;3;683;308;11825.3;1.1;4.3;15.5;37.7;117.4
0;566;4;11;10;1082.9;10.1;44;71.6;139.4;434.3
0;580;1;112;52;391.7;2.8;5.3;6.7;10.4;16.7
0;580;2;39;23;248.2;3.2;6.6;7.4;12.5;23.6
0;580;3;15;12;184.4;1.8;8.6;11.1;12.8;77
0;580;4;9;9;68;2.7;3.4;7.6;11.6;13.4
0;581;1;8;3;15.2;3;3;3;9.2;9.2
0;581;2;5;2;6.9;0.9;0.9;3.5;6;6
0;581;3;3;2;27.2;11.7;11.7;13.6;15.5;15.5
0;581;4;4;2;16.5;6.3;6.3;8.2;10.2;10.2
0;583;3;4;4;986.3;119.7;127.4;238.6;365.7;389.4
0;583;4;7;7;1791.2;1.9;21.1;253;307.6;801.8
0;588;2;1;1;77.8;77.8;77.8;77.8;77.8;77.8
0;588;3;7;6;1592.2;4.7;75.2;92.6;401.8;925.3
0;588;4;54;54;19990.8;25;93.6;207.3;432.3;1102.1
0;589;1;1;1;281.6;281.6;281.6;281.6;281.6;281.6
0;589;2;5;4;1061.4;78.2;93.8;202.3;436.9;578.6
0;589;3;1;1;50.8;50.8;50.8;50.8;50.8;50.8
0;589;4;2;2;254.4;5.6;5.6;127.2;248.8;248.8
0;591;1;2;2;9.4;2.8;2.8;4.7;6.6;6.6
0;591;2;4;3;79.1;7;7;9.3;62.8;62.8
0;591;3;11;9;478.3;2.9;7;25.2;90.8;152.4
0;591;4;63;63;23778.8;4.6;25.2;128.7;206.4;771.4
0;593;1;1;1;35.4;35.4;35.4;35.4;35.4;35.4
0;593;2;24;15;538.9;1.8;6.5;11.3;45.4;208.7
0;593;3;71;60;3757.3;3.3;11.7;43.6;77.9;206
0;593;4;80;76;12477.7;4.6;23.3;90.1;191.5;505.5
0;602;1;3;1;10.6;10.6;10.6;10.6;10.6;10.6
0;602;2;37;26;845.3;5.1;7;12.2;38.7;125.9
0;602;3;79;70;4141.7;3.7;9.7;27.2;71.1;242.5
0;602;4;50;48;16700.2;7.2;40.8;81.7;159.2;488.6
0;603;1;4;1;2.3;2.3;2.3;2.3;2.3;2.3
0;603;2;13;4;99.7;15.3;19.2;24;30.6;36.4
0;603;3;21;16;1113.5;3.2;13;58.6;100.7;191
0;603;4;4;3;194.1;36.8;36.8;56.8;100.6;100.6
0;607;1;17;12;307.3;3.2;8.8;10.4;52.5;75
0;607;2;65;44;777.4;3.3;6.9;9;12.8;60.8
0;607;3;119;95;4052.6;2.3;6.5;12.1;51.7;231.6
0;607;4;42;42;3981.7;4.2;9.9;20.5;57.6;203.6
0;608;1;32;8;115.7;4.6;6.5;13.3;16.2;39
0;608;2;56;31;873;2.3;5;9.7;33.6;125.5
0;608;3;24;16;478.4;5.8;8.6;11.3;44.5;134.9
0;608;4;4;4;872.4;10.2;32.5;227.2;403.7;407.9
0;609;2;10;10;434.2;1.7;8.3;24.2;41.6;214.9
0;609;3;15;15;1161.2;1.9;13.6;47.7;107.6;334.1
0;609;4;39;39;9186.5;3.4;35.8;112.8;273;924
0;611;1;17;4;111.9;10.6;11.3;12.1;44.6;77.1
0;611;2;43;23;215.5;2.3;5;8.7;14;21
0;611;3;58;44;1559.2;3.2;7.3;15.9;42.9;140.4
0;611;4;19;18;883.9;2.3;12.3;23.3;56.4;290.6
0;612;1;39;27;505.3;4.2;6.5;9.2;20.1;75.3
0;612;2;98;71;1499.4;3;6.5;10.6;21.3;84.8
0;612;3;100;91;2180.6;3;7;10.2;19.6;104.8
0;612;4;18;15;768.2;3.2;5.5;19.8;92.4;182.2
0;613;1;9;6;148.2;3.2;6.5;11.9;39;75.7
0;613;2;21;16;744.8;5.8;21.6;40.5;60.7;129.7
0;613;3;5;5;207.5;6.5;10.2;25.4;34.6;130.8
0;613;4;2;1;83.8;83.8;83.8;83.8;83.8;83.8
0;614;1;150;56;605.5;2.5;4.2;7.9;10.8;40.4
