vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;001;1;B-106;1;0.8;0.8;0.8;0.8;0.8;0.8
0;001;1;B-107a;1;3.4;3.4;3.4;3.4;3.4;3.4
0;001;1;B-110;2;2.8;0.8;0.8;1.4;2;2
0;001;1;B-112ap;1;1;1;1;1;1;1
0;001;1;B-112b;1;0.8;0.8;0.8;0.8;0.8;0.8
0;001;1;B-116p;1;2.3;2.3;2.3;2.3;2.3;2.3
0;001;1;B-121;1;5.3;5.3;5.3;5.3;5.3;5.3
0;001;1;B-125o;1;14;14;14;14;14;14
0;001;1;B-131;1;6;6;6;6;6;6
0;001;1;B-132;1;1;1;1;1;1;1
0;001;1;B-134o;1;82.5;82.5;82.5;82.5;82.5;82.5
0;001;2;B-107a;21;88.6;0.3;2.9;4.3;5.4;8.3
0;001;2;B-107b;7;52.6;0.9;1.4;4.3;12;19.1
0;001;2;B-108b;10;50.3;0.3;3.1;3.9;4.9;13.1
0;001;2;B-110;12;14.4;0.4;0.4;1;2;2.8
0;001;2;B-111;18;42.7;0.7;1.7;2.2;3;6.3
0;001;2;B-112ap;21;96.7;1;3;4;6;8
0;001;2;B-114;3;12.3;0.7;0.7;3.3;8.3;8.3
0;001;2;B-116p;9;9.7;0.7;0.7;1;1.3;1.7
0;001;2;B-119a;1;0.5;0.5;0.5;0.5;0.5;0.5
0;001;2;B-119b;1;0.7;0.7;0.7;0.7;0.7;0.7
0;001;2;B-121;2;2;0.7;0.7;1;1.3;1.3
0;001;2;B-124p;1;6.5;6.5;6.5;6.5;6.5;6.5
0;001;2;B-125o;3;26;1;1;2;23;23
0;001;2;B-125p;4;17;1;1.5;4;7;8
0;001;2;B-126b;1;9.5;9.5;9.5;9.5;9.5;9.5
0;001;2;B-131;24;122;2;3;4.5;5.5;12.5
0;001;2;B-132;6;6.3;0.3;0.3;1;1.3;2.3
0;001;2;B-134o;25;748.5;4;10;27;45;62
0;001;2;B-134p;10;24;1;2;2;3;6
0;001;2;B-259;1;5.5;5.5;5.5;5.5;5.5;5.5
0;001;3;B-105;3;11;0.5;0.5;3;7.5;7.5
0;001;3;B-106;3;4;0.5;0.5;0.5;3;3
0;001;3;B-107a;45;216.3;0.6;2.9;3.4;4.9;15.7
0;001;3;B-107b;13;46.3;0.3;0.6;1.7;5.4;11.4
0;001;3;B-108b;21;108;2;3.4;5.7;6.3;8.9
0;001;3;B-109;3;26;6;6;7;13;13
0;001;3;B-110;27;35.2;0.4;0.4;0.8;1.6;2.4
0;001;3;B-111;22;68.7;1;2.3;3;4.3;5.3
0;001;3;B-112ap;47;214.7;2.3;3.7;4;5;8
0;001;3;B-112b;8;18.4;0.4;1.2;2;3.6;4.4
0;001;3;B-114;6;33;0.3;1;5.2;9.3;12
0;001;3;B-115;4;9.6;0.4;1.2;2.6;3.6;4
0;001;3;B-116o;1;0.8;0.8;0.8;0.8;0.8;0.8
0;001;3;B-116p;30;32.7;0.3;0.7;1;1.3;2.2
0;001;3;B-118;2;33;5;5;16.5;28;28
0;001;3;B-119b;4;34.8;0.3;2.3;5.3;15.1;23.8
0;001;3;B-120;1;0.3;0.3;0.3;0.3;0.3;0.3
0;001;3;B-121;12;11.3;0.7;0.7;0.7;1.3;2
0;001;3;B-123;3;3;1;1;1;1;1
0;001;3;B-124p;21;95;0.5;1.8;2.8;3.8;17.3
0;001;3;B-125o;20;183.5;1;3.5;10;13;21.5
0;001;3;B-125p;10;30;1;1;2;5;7
0;001;3;B-126b;2;19.5;4.5;4.5;9.8;15;15
0;001;3;B-131;58;343.5;1.5;3.5;5.4;7.5;11
0;001;3;B-132;8;22;0.3;0.7;2;3.5;9.3
0;001;3;B-134o;65;2138;5;14;30;45;72
0;001;3;B-134p;28;78;1;1.5;2;3;9
0;001;4;B-105;1;0.5;0.5;0.5;0.5;0.5;0.5
0;001;4;B-106;14;230;0.5;5.8;10.1;25;48
0;001;4;B-107a;58;404.1;0.6;2.9;4;8.3;23.4
0;001;4;B-107b;24;203.4;0.6;1.4;5;11.6;27.1
0;001;4;B-108b;70;796.3;1.7;4;7.7;13.4;40
0;001;4;B-109;19;177.5;2;4;6.5;17;22.5
0;001;4;B-110;50;60.4;0.4;0.4;0.8;1.6;3.2
0;001;4;B-111;47;158.2;0.3;0.7;2.3;4.7;10
0;001;4;B-112ap;62;350;0.7;3;4.3;7;16
0;001;4;B-112b;27;163.6;0.4;2.4;4;6.8;17.2
0;001;4;B-112c;2;15.5;7.5;7.5;7.8;8;8
0;001;4;B-114;53;1115.8;2;6.3;10;20;63
0;001;4;B-115;3;107.2;4.4;4.4;37.2;65.6;65.6
0;001;4;B-116o;4;4.8;0.2;0.3;1.3;2.1;2.2
0;001;4;B-116p;46;444.8;0.7;1;2;5.2;56.5
0;001;4;B-118;10;314.8;5;16;24.8;47.5;85
0;001;4;B-119a;16;87.1;0.4;0.4;1;8;33.6
0;001;4;B-119b;5;58.7;0.3;0.7;5.7;22.3;29.7
0;001;4;B-120;6;52.7;0.3;0.3;2.5;14;33
0;001;4;B-121;27;473.3;0.7;1.3;4.7;13.3;94
0;001;4;B-123;4;5;1;1;1;1.5;2
0;001;4;B-124p;68;689;1;2.9;5.3;9;35.5
0;001;4;B-125bis;2;4;1;1;2;3;3
0;001;4;B-125o;30;435.5;1;4;6;20;54
0;001;4;B-125p;20;141.5;1;2;4.5;8.5;24.3
0;001;4;B-126b;11;87.5;0.5;3;6;10;20.5
0;001;4;B-127;1;3.7;3.7;3.7;3.7;3.7;3.7
0;001;4;B-131;66;625;2.5;4.5;8;11.5;24.8
0;001;4;B-132;45;338;0.3;1.7;5.3;12.3;26
