vrai_hop;rdrg;SI;N;total;p5;p25;p50;p75;p95
0;001;1;6;3990;0;0;267.73;379.28;3075.18
0;001;2;12;9449;0;0;464.8;1329.36;2980.99
0;001;3;31;40123;0;275.16;1018.84;2031.56;3658.53
0;001;4;98;270435;91.72;458.6;1556.14;3574.52;11716.83
0;002;1;1;6877;6876.58;6876.58;6876.58;6876.58;6876.58
0;002;2;6;2608;0;183.44;345.62;506.55;1227.1
0;002;3;24;15306;0;258.68;358.81;723.85;1636.1
0;002;4;76;81939;0;359.45;733.76;1170.1;3250.85
0;003;1;40;41182;0;0;709.57;1583.38;3626.63
0;003;2;80;127926;0;522.43;1069.7;2314.63;4944.79
0;003;3;200;450880;40.9;591.83;1272.29;2614.62;7692.04
0;003;4;207;969426;183.44;1264.24;2623.88;5325.86;19801.24
0;004;1;33;1520;0;0;0;66.93;275.17
0;004;2;73;11354;0;0;0;183.44;743.68
0;004;3;259;70936;0;0;66.93;326.85;1338.6
0;004;4;1569;1422309;0;133.86;396.37;978.81;3349.08
0;005;1;67;5523;0;0;0;133.86;500.74
0;005;2;143;14763;0;0;0;138.82;401.58
0;005;3;128;21817;0;0;36.81;231.78;758.57
0;005;4;129;58279;0;0;200.79;542.51;2082.28
0;020;1;124;1141;0;0;0;0;36.81
0;020;2;132;3258;0;0;0;0;156.18
0;020;3;171;19528;0;0;0;104.12;624.69
0;020;4;197;53298;0;0;133.86;334.65;1083.24
0;021;1;1235;11173;0;0;0;0;49.21
0;021;2;1194;32749;0;0;0;0;173.16
0;021;3;750;42859;0;0;0;36.81;312.36
0;021;4;676;127629;0;0;36.81;200.79;837.89
0;022;1;223;1006;0;0;0;0;0
0;022;2;282;1745;0;0;0;0;49.21
0;022;3;127;1854;0;0;0;0;91.72
0;022;4;96;12783;0;0;0;122.14;592.46
0;023;1;575;3453;0;0;0;0;0
0;023;2;327;7213;0;0;0;0;103.74
0;023;3;200;26237;0;0;0;107.27;803.18
0;023;4;41;19646;0;0;200.79;371.84;1765
0;024;1;1234;8656;0;0;0;0;0
0;024;2;2011;18836;0;0;0;0;73.62
0;024;3;682;24930;0;0;0;0;200.79
0;024;4;118;17621;0;0;43.01;200.79;629.27
0;025;1;3195;1595;0;0;0;0;0
0;025;2;208;1072;0;0;0;0;0
0;025;3;45;1201;0;0;0;0;183.44
0;025;4;6;707;0;0;45.86;147.24;468.51
0;026;1;631;5594;0;0;0;0;36.81
0;026;2;456;5722;0;0;0;0;73.62
0;026;3;244;11972;0;0;0;36.81;209.96
0;026;4;100;20145;0;0;36.81;258.86;798.01
0;040;1;213;1325;0;0;0;0;36.81
0;040;2;267;4216;0;0;0;0;91.72
0;040;3;108;4039;0;0;0;23.18;200.79
0;040;4;24;2243;0;0;0;73.37;475.2
0;041;1;493;6692;0;0;0;0;55.03
0;041;2;1151;22859;0;0;0;36.81;91.72
0;041;3;862;36405;0;0;0;36.81;183.44
0;041;4;184;31480;0;0;0;36.81;980.38
0;042;1;2262;17623;0;0;0;0;36.81
0;042;2;3914;46868;0;0;0;0;73.62
0;042;3;1968;39062;0;0;0;36.81;110.06
0;042;4;313;16880;0;0;0;36.81;200.79
0;043;1;1402;1471;0;0;0;0;0
0;043;2;653;1882;0;0;0;0;36.81
0;043;3;167;1729;0;0;0;0;47.6
0;043;4;21;736;0;0;0;0;200.79
0;044;1;478;1898;0;0;0;0;36.81
0;044;2;931;10186;0;0;0;0;36.81
0;044;3;1171;19710;0;0;0;0;73.62
0;044;4;467;28927;0;0;0;0;200.79
0;045;1;688;4065;0;0;0;0;36.81
0;045;2;3829;36959;0;0;0;0;66.93
0;045;3;2099;39651;0;0;0;0;110.43
0;045;4;1032;42486;0;0;0;36.81;200.79
0;046;1;1419;9378;0;0;0;0;36.81
0;046;2;4727;48350;0;0;0;0;55.03
0;046;3;2417;49562;0;0;0;0;110.43
0;046;4;951;54393;0;0;0;36.81;237.6
0;047;1;1730;10489;0;0;0;0;36.81
0;047;2;4727;42426;0;0;0;0;49.21
0;047;3;1621;33112;0;0;0;0;91.84
0;047;4;136;6774;0;0;0;60.98;207.48
0;048;1;1691;6245;0;0;0;0;36.81
0;048;2;2054;31004;0;0;0;18.22;73.62
0;048;3;1630;24662;0;0;0;0;73.62
0;048;4;74;6178;0;0;0;73.62;408.27
0;049;1;144;463;0;0;0;0;0
0;049;2;386;2487;0;0;0;0;36.81
0;049;3;148;2702;0;0;0;0;91.72
0;049;4;107;7424;0;0;0;52.06;260.3
0;050;1;236;1528;0;0;0;0;36.81
0;050;2;305;3923;0;0;0;0;36.81
0;050;3;112;1798;0;0;0;0;133.86
0;050;4;56;8568;0;0;0;73.62;974.21
0;051;1;776;162;0;0;0;0;0
0;051;2;217;496;0;0;0;0;0
0;051;3;36;288;0;0;0;0;104.12
0;051;4;6;403;0;0;0;86.02;316.94
0;052;1;649;1581;0;0;0;0;36.81
0;052;2;507;3353;0;0;0;0;36.81
0;052;3;571;12524;0;0;0;0;91.72
0;052;4;266;16847;0;0;0;36.81;341.34
0;053;1;6651;11620;0;0;0;0;0
0;053;2;4233;21393;0;0;0;0;36.81
0;053;3;2254;32171;0;0;0;0;73.62
0;053;4;357;24331;0;0;0;36.81;312.09
0;054;1;2905;6108;0;0;0;0;0
0;054;2;1274;4646;0;0;0;0;36.81
0;054;3;179;2372;0;0;0;0;91.84
0;054;4;12;993;0;0;0;18.4;555.28
0;055;1;505;1411;0;0;0;0;0
0;055;2;488;5239;0;0;0;0;36.81
0;055;3;294;8970;0;0;0;0;183.56
0;055;4;120;7059;0;0;0;66.93;296.23
0;056;1;866;545;0;0;0;0;0
0;056;2;350;1932;0;0;0;0;36.81
0;056;3;94;2874;0;0;0;0;200.79
0;056;4;29;3828;0;0;0;49.21;736.23
0;057;1;10157;3110;0;0;0;0;0
0;057;2;1146;4383;0;0;0;0;0
0;057;3;168;2539;0;0;0;0;110.43
0;057;4;22;3403;0;0;36.81;267.72;554.9
0;058;1;10469;7694;0;0;0;0;0
0;058;2;5707;26422;0;0;0;0;36.81
0;058;3;1774;27127;0;0;0;0;91.84
0;058;4;263;12595;0;0;0;36.81;209.97
0;070;1;351;26909;0;0;0;0;1051
0;070;2;163;2310;0;0;0;0;0
0;070;3;28;103;0;0;0;0;36.81
0;070;4;1;0;0;0;0;0;0
0;071;1;3407;15974;0;0;0;0;0
0;071;2;1955;340052;0;0;0;0;867.63
0;071;3;79;3316;0;0;0;0;336.01
0;071;4;4;545;0;0;0;272.31;544.62
0;072;1;2541;15441;0;0;0;0;0
0;072;2;374;1684;0;0;0;0;0
0;072;3;46;1207;0;0;0;0;73.62
0;072;4;6;220;0;0;0;0;219.88
0;073;1;8707;4077;0;0;0;0;0
0;073;2;2563;1790;0;0;0;0;0
0;073;3;202;1231;0;0;0;0;36.81
0;073;4;9;817;0;0;0;0;743.68
0;080;1;220;709;0;0;0;0;0
0;080;2;82;160;0;0;0;0;0
0;080;3;18;141;0;0;0;0;49.21
0;081;1;250;267;0;0;0;0;0
0;081;2;291;1576;0;0;0;0;36.81
0;081;3;54;294;0;0;0;0;36.81
0;081;4;5;176;0;0;29.38;36.81;110.06
0;082;1;848;1147;0;0;0;0;0
0;082;2;1163;11237;0;0;0;0;73.62
0;082;3;398;8174;0;0;0;0;133.86
0;082;4;26;4770;0;0;9.11;73.62;200.79
0;090;1;81;173;0;0;0;0;0
0;090;2;138;3990;0;0;0;0;133.86
0;090;3;51;5238;0;0;0;133.86;438.77
0;090;4;80;14580;0;0;51.87;306.14;706.31
0;091;1;283;1810;0;0;0;0;0
0;091;2;143;4765;0;0;0;0;200.79
0;091;3;38;3589;0;0;0;133.86;438.77
0;091;4;61;12993;0;0;91.72;267.72;736.23
0;092;1;2504;14468;0;0;0;0;0
0;092;2;346;4912;0;0;0;0;86.02
0;092;3;40;1486;0;0;0;0;271.44
0;092;4;12;4074;0;33.46;225.58;342.09;2103.35
0;093;1;6782;64313;0;0;0;0;0
0;093;2;795;13200;0;0;0;0;36.81
0;093;3;55;4175;0;0;0;0;495.79
0;093;4;5;1687;0;0;133.86;378.02;1175.01
0;094;1;1696;2038;0;0;0;0;0
0;094;2;380;6126;0;0;0;0;64.26
0;094;3;65;4480;0;0;0;66.19;371.46
0;094;4;15;3137;0;36.81;73.62;356.6;847.8
0;095;1;356;1606;0;0;0;0;0
0;095;2;86;293;0;0;0;0;0
0;095;3;6;0;0;0;0;0;0
0;096;1;761;122;0;0;0;0;0
0;096;2;188;692;0;0;0;0;18.22
0;096;3;17;1274;0;0;0;36.81;736.23
0;096;4;1;0;0;0;0;0;0
0;097;1;10384;2600;0;0;0;0;0
0;097;2;831;2016;0;0;0;0;0
0;097;3;67;1696;0;0;0;0;73.62
0;097;4;5;922;0;0;0;267.72;654.43
0;098;1;12488;128899;0;0;0;0;0
0;098;2;1790;14698;0;0;0;0;0
0;098;3;129;4737;0;0;0;0;147.24
0;098;4;22;6726;0;0;94.44;392.67;939.48
0;110;1;474;9443;0;0;0;36.81;132.38
0;110;2;771;19537;0;0;0;36.81;133.86
0;110;3;508;23111;0;0;0;36.81;209.97
0;110;4;95;13254;0;0;0;183.44;624.7
0;111;1;1720;3142;0;0;0;0;0
0;111;2;1382;8498;0;0;0;0;36.81
0;111;3;291;3531;0;0;0;0;73.62
0;111;4;11;1355;0;0;0;55.03;995.78
0;112;1;653;3435;0;0;0;0;0
0;112;2;306;5883;0;0;0;0;133.86
0;112;3;127;20536;0;0;49.21;200.79;717.62
0;112;4;12;10579;0;133.86;317.3;783.95;6178.74
0;113;1;6270;4462;0;0;0;0;0
0;113;2;4258;13660;0;0;0;0;0
0;113;3;684;11265;0;0;0;0;55.03
0;113;4;69;5765;0;0;0;0;633.34
0;114;1;4082;1259;0;0;0;0;0
0;114;2;914;10717;0;0;0;0;36.81
0;114;3;222;20037;0;0;0;0;371.84
0;114;4;42;15509;0;0;9.11;183.44;1124.14
0;115;1;2109;1391;0;0;0;0;0
0;115;2;1632;5311;0;0;0;0;0
0;115;3;184;4925;0;0;0;0;133.86
0;115;4;32;2950;0;0;0;64.32;458.6
0;120;1;235;6538;0;0;0;0;200.79
0;120;2;654;42370;0;0;0;66.93;275.16
0;120;3;365;27589;0;0;0;118.99;334.65
0;120;4;248;92929;0;0;148.73;418.75;1571.64
0;121;1;1036;12476;0;0;0;0;73.62
0;121;2;1653;58675;0;0;0;36.81;200.79
0;121;3;824;67674;0;0;0;79.45;311.97
0;121;4;401;125169;0;0;87.14;275.16;1264.25
0;122;1;146;1462;0;0;0;0;36.81
0;122;2;170;10063;0;0;0;49.21;267.72
0;122;3;126;9654;0;0;36.81;73.62;286.32
0;122;4;132;58190;0;0;137.2;401.58;1892.27
0;130;1;14;335;0;0;0;0;200.79
0;130;2;70;2073;0;0;0;0;200.79
0;130;3;309;16197;0;0;0;66.93;267.72
0;130;4;1113;215135;0;0;36.81;200.79;747.9
0;131;1;57;134;0;0;0;0;0
0;131;2;159;0;0;0;0;0;0
0;131;3;277;1575;0;0;0;0;18.22
0;131;4;97;2822;0;0;0;0;183.44
0;132;1;13;0;0;0;0;0;0
0;132;2;14;37;0;0;0;0;36.81
0;132;3;21;126;0;0;0;0;34.71
0;132;4;7;0;0;0;0;0;0
0;133;1;711;16502;0;0;0;36.81;133.86
0;133;2;828;11343;0;0;0;0;73.62
0;133;3;1430;52050;0;0;0;36.81;156.18
0;133;4;524;52351;0;0;0;73.62;401.58
0;134;1;587;27032;0;0;55.03;73.62;128.65
0;134;2;1869;109456;0;0;55.03;73.62;147.24
0;134;3;1475;105942;0;0;55.03;91.84;208.85
0;134;4;468;54903;0;0;73.62;128.65;403.81
0;135;1;546;1006;0;0;0;0;0
0;135;2;563;5486;0;0;0;0;36.81
0;135;3;297;7520;0;0;0;36.81;133.86
0;135;4;81;5371;0;0;0;36.81;342.59
0;136;1;867;28931;0;0;0;36.81;173.16
0;136;2;4367;180769;0;0;0;36.81;200.79
0;136;3;3673;236209;0;0;0;36.81;267.72
