vrai_hop;rdrg;total;p5;p25;p50;p75;p95
0;001;7405871;20527.6;25606.48;30805.04;40630.55;95769.42
0;002;4965859;23806.42;28865.81;35265.82;46295.18;85544.4
0;003;14278820;5721.24;16136.91;21526.2;30706.58;64172.36
0;004;66555304;6981.6;19076.47;28813.7;44194.8;76261.73
0;005;7706258;2960.56;8707.04;13140.52;19082.55;36369.82
0;020;7730817;2818.01;5002.9;7731.59;13736.31;30718.19
0;021;41319013;2585.2;6113.68;8578.24;13048.5;29588.74
0;022;5717458;1663.26;3729.98;5294.76;9136.18;22722.98
0;023;8069573;950.14;2157.97;4055.11;7559.14;19408.04
0;024;18894148;2313.51;2842.9;3490.81;5255.29;12866.25
0;025;5526440;667.76;894.86;1085.28;1452.12;3360.56
0;026;9620126;824.06;2042.5;4017.01;9408.04;21242.6
0;040;2845229;639.08;1330.22;2487.54;5065.27;15456.87
0;041;14162544;897.69;2243.87;4073.83;7016.45;15506.21
0;042;39186476;729.04;2089.85;3811.34;6545.95;14698.24
0;043;6143404;601.39;1182.15;1927.39;3096.36;8571.23
0;044;16476283;592.41;1569.47;3818.68;7350.75;18212.21
0;045;43694355;1291.28;2903.17;4823.56;8566.15;20411.14
0;046;57428235;876.53;2188.29;3708.08;6444.08;16639.06
0;047;31080563;923.65;1845.05;2773.58;4228.23;9189.53
0;048;17726275;592.15;1218.81;2257.57;3908;8493.5
0;049;5299970;661.6;2304.45;3972.61;7398.95;17501.2
0;050;2862733;629.65;1217.84;2470.56;4550.06;12583.4
0;051;2670995;691.7;1083.77;1518.54;2193.95;4017.03
0;052;7911145;567.88;1113.83;2409.3;4680.23;12122.96
0;053;30871752;502.87;838.05;1441.49;2684.7;7112.23
0;054;7568953;465.56;757.17;1180.04;1998.59;3990.83
0;055;6055847;586.83;1287.6;2716.71;5526.99;13867.53
0;056;3540181;498.72;839.12;1431.37;2772.49;7421.6
0;057;12192824;408.21;530.21;694.12;1001.34;2320.3
0;058;37105764;433.42;607.95;800.74;1926.85;7949.61
0;070;1498695;957.34;1442.32;1957.85;2982.56;6252.6
0;071;14076817;1150.41;1809.9;2306.92;2903.39;4462.89
0;072;5373189;680.54;1021.38;1204.51;1563.15;3161.41
0;073;21926153;1113.06;1287.85;1450.55;1678.9;2471.37
0;080;649716;810.7;1353.15;1909.57;2657.2;5202.05
0;081;1618308;647.58;1231.48;1973.55;3005.42;5906.47
0;082;6888209;494.91;1122.79;1975;3151.3;6655.46
0;090;3398824;916.09;1812.54;7225.16;11595.41;24480.99
0;091;5166275;1659.93;3039.58;5691.1;19549.09;24496.61
0;092;6981081;939.71;1541.62;2252.56;3137.49;4814.18
0;093;15501519;948.44;1358.97;1847.92;2247.64;3444.87
0;094;4420452;600.91;918.27;1221.64;1704.33;4329.36
0;095;876732;911.45;1282.27;1697.93;2249.16;4372.27
0;096;1872823;961.71;1308.11;1666.13;2163.99;3447.71
0;097;12027201;583.14;718.22;896.8;1121.89;1706.42
0;098;25534347;738.23;1034.12;1357.17;1915.2;3183.15
0;110;7399725;762.07;1390.79;2203.6;4031.73;12797.31
0;111;8586330;594.11;1174.41;1880.06;2896.31;5603.57
0;112;1634095;419.35;706.32;1125.76;1711.43;3796.86
0;113;16122210;466.78;795.78;1161.98;1706.57;3318.87
0;114;8435494;493.06;866.49;1125.43;1475.98;2993.94
0;115;5643621;423.03;622.26;825.53;1415.4;3284
0;120;14045628;4269.92;5983.47;7406.08;10034.18;20716.36
0;121;25243765;1067.94;2321.11;4462.38;7675.38;18238.45
0;122;4472531;1035.56;2151.13;4608.89;9634.99;26703.87
0;130;16677826;3186.73;6693.89;10328.76;15936.17;28377.75
0;131;3483911;963.49;2304.44;4490;7365.3;11356.19
0;132;279174;870.74;1487.98;2828.25;5462.45;14957.38
0;133;13743616;649.27;1934.46;3520.75;5752.5;12264.91
0;134;21281328;1290.29;2842.73;4102.01;5908.79;11024.17
0;135;5027495;538.34;1137.53;2177.16;4072.43;9710.05
0;136;38948861;781.12;1580.75;2728.98;5098.1;12155.22
0;137;36576355;1111.34;2904.2;4875.87;8006.5;16759.31
0;138;871464;849.73;1364.77;1892.61;2519.5;5704.88
0;139;100830167;960.71;1821.02;2925.86;4823.97;10444.13
0;140;101390499;945.03;2326.71;3510.93;5335.93;11339.35
0;141;24797192;629.76;1160.06;1769.75;2633.86;4921.09
0;142;4945924;788.38;1674.02;3100.67;4923.93;10135.91
0;143;9681251;728.77;1594.7;2452.4;4270.05;9063.51
0;144;58230621;533.93;844.06;1660.24;3107.49;7550.25
0;160;1558207;7843.85;10983.84;13250.6;16588.66;33940.74
0;161;5459881;1809.65;2796.28;6739.79;16475.67;31686.53
0;162;16334889;12118.73;15452.93;19124.03;25407.11;42968.76
0;163;40051187;10307.27;13079.31;15004.93;18486.74;30899.52
0;164;29288;10207.99;10207.99;14644.14;19080.29;19080.29
0;165;39679185;9386.66;11408.73;13425.61;16337.07;26443.29
