vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3117;83131559;21255536;52844844;4865783;19085118
0;01;120929;523490677;38799108;128308628;7055983;86075398
0;03;134471;156300758;6619556;67638690;1564608;47459840
0;04;144816;645480018;38129789;114700114;11894491;73039728
0;05;203290;638743763;35096843;220415667;13244538;418095611
0;06;184727;507560065;36841010;136149597;8481155;117625736
0;07;57072;188673069;15568810;48241125;4215387;47420780
0;08;253659;911972071;35469573;249596927;7114360;386686183
0;09;60425;178310282;8229895;55815179;1938414;24931534
0;10;49632;141240159;8092506;24107946;2354981;55978948
0;11;87407;261105853;17444576;57772117;4495618;48314406
0;12;24033;54347166;4668513;12138123;456399;29117589
0;13;30777;50056094;3411568;21476425;426697;24383945
0;14;133889;260127382;7672953;61070906;1859262;86974718
0;15;6319;68356652;3221099;24849167;1017035;5522716
0;16;17378;64726653;11285197;11557911;1492895;12885947
0;17;33659;113444820;59295534;23355444;2925881;25999387
0;18;39109;197495351;17000300;37045810;4976931;22605087
0;19;22994;107595137;1225340;12796582;791365;9855764
0;20;12139;38274824;488223;4686107;484085;4287853
0;22;893;12807648;531851;1155537;184987;857172
0;23;59837;167930109;5786794;31916817;1627366;32324780
0;24;757;5909375;926279;863996;140146;544739
0;25;2798;31715736;1750502;8691733;621444;4848706
0;FF;22235;180098708;14076899;42653950;3678929;25659242
0;02;14286;19533112;854404;16215803;168323;8149941
0;21;25407;70025864;3378330;13310734;1292627;11326258
