vrai_hop;rdrg;mean;p5;p25;p50;p75;p95
0;757;16;1;7;12;20;40
0;758;7;1;1;2;8;25
0;759;18;1;4;8;16;69
0;760;3;1;1;1;1;12
0;770;5;1;1;2;4;19
0;772;9;2;6;7;8;30
0;773;7;1;1;3;8;24
0;774;3;1;1;1;2;16
0;775;6;1;1;1;5;26
0;776;6;1;1;2;7;25
0;791;7;1;1;2;7;30
0;811;2;1;1;1;2;6
0;812;5;1;1;1;5;22
0;813;5;1;1;2;5;16
0;815;7;1;1;1;5;28
0;816;4;1;1;1;2;16
0;841;43;0;7;57;74;101
0;842;20;1;4;16;27;63
0;843;6;1;1;2;10;19
0;844;7;1;1;2;9;28
0;850;6;1;1;1;3;28
0;860;28;4;13;23;36;70
0;861;4;1;1;1;3;15
0;862;4;1;1;1;3;20
0;863;13;0;3;12;20;32
0;890;22;3;7;15;29;77
0;892;12;1;5;8;13;35
0;893;12;2;5;8;12;25
0;894;6;1;2;4;7;16
0;910;32;1;5;21;43;109
0;911;27;1;10;16;31;94
0;912;28;3;9;17;33;90
0;930;16;1;5;10;20;50
0;950;23;1;3;13;31;82
0;951;14;1;2;6;17;53
0;952;13;1;1;6;16;49
0;955;5;1;1;2;4;5
0;956;13;1;2;5;17;49
