vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;2892;74154245;21734433;49509991;4475347;15344282
0;01;119678;474774092;27538134;122371100;6941304;71668884
0;02;14581;17959102;807338;15130089;176264;7455696
0;03;109030;119671742;6509747;60093757;1380660;36794398
0;04;139782;561224192;37767166;116330582;11235425;64445866
0;05;199894;575644110;37026348;299713941;15040633;284732692
0;06;186102;482089502;44817945;152977092;9072609;105581836
0;07;54432;166482328;16306071;56532139;4140787;34655483
0;08;250613;845538044;39252617;292736595;7781952;304960207
0;09;60437;166836735;8752275;52523045;1872003;24686675
0;10;50147;136696593;7510747;46377370;2597971;34058678
0;11;80124;216136486;17146875;63584163;4158872;36000504
0;12;21874;48747271;4361196;21398144;571346;12367084
0;13;37286;61300871;4542075;32384554;615016;19951747
0;14;140537;277691017;9064919;105839773;3100360;42059398
0;15;4813;55742670;2239756;21384395;979635;4417338
0;16;16202;54134235;8803980;10213663;1359775;11607106
0;17;37584;105554814;48120064;22892175;2853565;25104277
0;18;31038;131055660;14221109;27047470;3607244;17263578
0;19;23941;112410528;1675224;14217326;923801;10652417
0;20;12446;41835369;741140;5686068;560114;4574290
0;21;25347;68478561;3923741;14811126;1356647;11680290
0;22;1039;10920810;307245;856923;131752;646743
0;23;63150;165801594;7054919;31740074;1701407;27612506
0;24;833;5740501;1127309;902061;157095;581014
0;25;2113;23374401;1749136;7841200;561524;4087312
0;FF;11169;93974033;7534396;24708003;1724975;16308930
