vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3751;48165281;27489663;33541354;4390527;12759583
0;01;120890;298879335;28771853;97846987;5777708;52720913
0;02;17691;18774400;1324183;13475904;212301;6953153
0;03;64019;63381990;7532209;35367767;942040;19711770
0;04;134172;360453679;54426804;87982558;9464515;52716976
0;05;198613;406570541;62128271;250052306;13448571;221833844
0;06;174381;315689738;52499830;113533027;7524908;70819404
0;07;46774;106964333;21912490;40450346;3209527;23261468
0;08;218602;511199466;41959098;198751164;5910834;186879801
0;09;52498;99965908;10723730;32206624;1350370;17445663
0;10;47681;93762924;8738551;30559955;2196238;21488351
0;11;65912;121828731;17406123;43242335;2900246;24673823
0;12;25928;43798699;5494325;21733955;603841;12939102
0;13;44955;61235671;6634004;30296228;699927;17694194
0;14;132498;196956099;10150167;74338976;2730946;34939896
0;15;7679;26978055;1356614;9940307;752462;3473887
0;16;14992;32168356;11340768;6874176;1006098;9031438
0;17;38959;70182693;45630879;14125801;2087214;19672482
0;18;18686;48884031;11554229;11010362;1660398;8403770
0;19;30791;90483922;3067553;14655125;1048771;12042818
0;20;13368;25880704;989718;4865164;512791;4058035
0;21;24575;39999610;4904549;10836978;1058769;8416802
0;22;1123;7103971;510493;853412;139228;551482
0;23;43754;85967491;6372847;20798592;1216456;16151182
0;24;864;3827693;1080887;664956;139644;581239
0;25;1709;10139417;2090278;4803880;405998;2537325
0;FF;12380;61199408;9910133;18461406;1408392;12103452
