vrai_hop;rdrg;SI;N;moy_gemid
0;001;1;5;314.49
0;001;2;18;581.48
0;001;3;84;631.07
0;001;4;114;1350.08
0;002;2;10;2552.85
0;002;3;62;1797.34
0;002;4;106;3059.17
0;003;1;290;55.89
0;003;2;434;28.44
0;003;3;81;60.53
0;003;4;74;143.3
0;004;1;2;706.92
0;004;2;18;1084.58
0;004;3;117;2154.59
0;004;4;890;2816.61
0;005;2;17;123.81
0;005;3;123;214.16
0;005;4;439;344.98
0;006;3;5;149.98
0;006;4;3;567.59
0;020;1;267;258.97
0;020;2;92;510.54
0;020;3;261;382.48
0;020;4;202;531.86
0;021;1;1161;970.65
0;021;2;1397;715.44
0;021;3;938;829.79
0;021;4;469;1246.47
0;022;1;208;958.02
0;022;2;317;1017.34
0;022;3;219;1357.6
0;022;4;142;2161.01
0;023;1;912;2293.8
0;023;2;542;1384.57
0;023;3;216;2094.89
0;023;4;44;2847.06
0;024;1;1643;1546
0;024;2;1850;1168.67
0;024;3;815;1716.39
0;024;4;132;4005.24
0;026;1;2081;1301.11
0;026;2;771;3397.17
0;026;3;260;3134.49
0;026;4;40;1692.75
0;040;1;123;0.9
0;040;2;182;69.17
0;040;3;111;50.72
0;040;4;23;41.11
0;041;1;309;13.42
0;041;2;1071;8.08
0;041;3;1354;15.3
0;041;4;148;17.53
0;042;1;1839;5.03
0;042;2;6063;2.36
0;042;3;3408;5.39
0;042;4;336;20.91
0;043;1;1902;6.19
0;043;2;946;1.55
0;043;3;141;8.22
0;043;4;16;35.82
0;044;1;419;17.32
0;044;2;896;6.17
0;044;3;1522;53.99
0;044;4;308;69.97
0;045;1;1273;0.11
0;045;2;8062;3.17
0;045;3;5142;12.68
0;045;4;1048;34.39
0;046;1;156;14.27
0;046;2;530;5.68
0;046;3;264;9.66
0;046;4;30;123.46
0;047;1;1935;0.09
0;047;2;4098;2.33
0;047;3;1172;4.28
0;047;4;74;30.15
0;048;1;1536;3.29
0;048;2;1153;6.99
0;048;3;1203;3.7
0;048;4;50;45.28
0;049;1;98;1.57
0;049;2;323;0.9
0;049;3;159;13.27
0;049;4;84;30.89
0;050;1;206;1.1
0;050;2;284;1.42
0;050;3;194;6.59
0;050;4;41;69.48
0;051;1;847;0
0;051;2;423;0.18
0;051;3;51;5.44
0;051;4;6;0
0;052;1;891;0.17
0;052;2;798;0.67
0;052;3;842;9.7
0;052;4;191;40.29
0;053;1;6749;0.14
0;053;2;5060;0.98
0;053;3;2762;2.73
0;053;4;393;20.41
0;054;1;4283;0.09
0;054;2;2000;0.67
0;054;3;216;1.28
0;054;4;12;9.68
0;055;1;730;0.85
0;055;2;1015;2.07
0;055;3;772;10.91
0;055;4;245;44.02
0;056;1;383;0.91
0;056;2;310;1.47
0;056;3;135;1.78
0;056;4;36;86.31
0;057;1;7012;0.14
0;057;2;1611;0.9
0;057;3;225;4.63
0;057;4;26;20.2
0;058;1;9897;14.13
0;058;2;5063;17.26
0;058;3;1314;8.5
0;058;4;169;31.04
0;070;1;286;97.8
0;070;2;161;203.41
0;070;3;36;159.99
0;073;1;7761;244.69
0;073;2;2719;248.5
0;073;3;216;201.79
0;073;4;3;114.31
0;080;1;245;1.37
0;080;2;324;0.68
0;080;3;86;5.84
0;080;4;7;16.23
0;082;1;1097;5.43
0;082;2;1274;3.66
0;082;3;335;8.26
0;082;4;31;38.37
0;089;1;1218;661.6
0;089;2;445;873.24
0;089;3;179;591.4
0;089;4;30;1195.35
0;090;1;13;33.5
0;090;2;122;482.88
0;090;3;76;741.63
0;090;4;32;917.87
0;091;1;127;22.9
0;091;2;412;10088.48
0;091;3;64;517.6
0;091;4;15;124.06
0;092;1;2691;244.6
0;092;2;762;389.66
0;092;3;75;504.22
0;092;4;12;414.24
0;093;1;5344;81.81
0;093;2;646;75.68
0;093;3;68;119.84
0;093;4;10;217.49
0;095;1;678;16.32
0;095;2;115;10.66
0;095;3;13;20.79
0;095;4;1;0
0;097;1;6193;2.72
0;097;2;1084;1.64
0;097;3;78;6.63
0;097;4;9;308.76
0;098;1;11607;54.51
0;098;2;1879;56.58
0;098;3;282;98.9
0;098;4;62;311.12
0;110;1;358;30.95
0;110;2;555;43.67
0;110;3;681;59.34
0;110;4;135;113.58
0;111;1;2992;0.15
0;111;2;2186;0.36
0;111;3;445;3.35
0;111;4;17;11.46
0;113;1;7990;0.5
0;113;2;6228;1.64
0;113;3;1023;19.35
0;113;4;74;22.92
0;114;1;2321;12.31
0;114;2;1335;10.98
0;114;3;529;8.51
0;114;4;81;28.3
0;115;1;33494;1.81
0;115;2;13191;0.69
0;115;3;923;12.04
0;115;4;130;48.49
0;120;1;702;1059.29
0;120;2;1054;1107.34
0;120;3;515;1127.84
0;120;4;162;1182.61
0;121;1;1267;365.07
0;121;2;1846;453.1
0;121;3;988;368.03
0;121;4;299;538.4
0;130;1;12;11.68
0;130;2;103;19.53
0;130;3;451;51.53
0;130;4;645;72.18
0;131;1;37;10.45
0;131;2;222;16.56
0;131;3;420;22.22
0;131;4;99;28.24
0;132;1;13;1.61
0;132;2;66;1.34
0;132;3;36;3.31
0;132;4;15;4.65
0;133;1;155;4.07
0;133;2;331;4.31
0;133;3;537;19.56
0;133;4;184;39.34
0;134;1;862;3.28
0;134;2;2254;4.52
0;134;3;1706;11.42
0;134;4;365;19.42
0;135;1;1154;5.19
0;135;2;967;17.27
0;135;3;750;19.75
0;135;4;117;49.84
0;136;1;435;28.51
0;136;2;2844;24.89
0;136;3;3993;43.12
0;136;4;516;64.76
0;137;1;625;2.7
0;137;2;2146;3.91
0;137;3;3596;13.92
0;137;4;1092;32.31
0;138;1;4872;0.07
0;138;2;4313;0.27
0;138;3;1177;0.34
0;138;4;51;7.62
0;139;1;6654;0.47
0;139;2;10680;2.11
0;139;3;10840;7.06
0;139;4;2386;26.47
0;140;1;3187;1
0;140;2;9098;3.46
0;140;3;12150;6.7
0;140;4;2828;17.16
0;141;1;3083;0.56
0;141;2;1895;0.82
0;141;3;793;1.53
0;141;4;85;8.29
0;142;1;251;19.11
0;142;2;731;18.45
0;142;3;722;11.24
0;142;4;118;19.64
0;143;1;1614;28.54
0;143;2;2173;33.85
0;143;3;1589;35.2
0;143;4;388;74.33
0;144;1;10563;1.62
0;144;2;8952;2.58
0;144;3;4546;7.28
0;144;4;462;24.08
0;160;1;10;1751.16
0;160;2;20;1411.85
0;160;3;37;2458.16
0;160;4;40;3763.5
0;161;1;427;10215.11
0;161;2;653;11094.69
0;161;3;644;11938.39
0;161;4;147;22391.99
0;162;1;80;3088.5
0;162;2;231;4634.76
0;162;3;450;4289.62
0;162;4;234;4991.01
0;163;1;508;3651.95
0;163;2;1298;3978.39
0;163;3;1604;4371.68
0;163;4;551;4722.97
0;165;1;105;1433.63
0;165;2;855;1487.5
0;165;3;717;1730.89
0;165;4;259;2331.08
0;166;1;326;1262.98
0;166;2;1857;1338.53
0;166;3;1062;1460.69
0;166;4;202;1836.27
0;167;1;183;2374.4
0;167;2;181;2417.13
0;167;3;191;2762.66
0;167;4;80;3178.68
0;169;1;359;1010.15
0;169;2;1011;1217.44
0;169;3;647;1697.55
0;169;4;331;1797.1
0;170;1;43;4851.84
0;170;2;257;4482.33
0;170;3;124;4346.53
0;170;4;27;4242.17
0;171;1;2917;4365.79
0;171;2;3146;4441.81
0;171;3;959;4448.78
0;171;4;152;4291.15
0;173;1;9357;1344.54
0;173;2;8164;1457.31
0;173;3;3040;1434.72
0;173;4;710;1873.3
0;174;1;2925;1802.22
0;174;2;2997;1813.63
0;174;3;1242;1880.09
0;174;4;590;2465.54
0;175;1;13726;2155.68
0;175;2;7064;2210.48
0;175;3;2235;2136.79
0;175;4;391;2338.74
0;176;1;2111;3439.64
0;176;2;292;8824.1
0;176;3;255;7801.44
0;176;4;9;7001
0;177;1;563;1191.73
0;177;2;261;1917.4
0;177;3;88;1726
0;177;4;22;1332.79
0;180;1;2690;46.48
0;180;2;170;128.21
0;180;3;304;219.99
0;180;4;141;274.2
0;190;1;1686;50.41
0;190;2;3390;65.56
0;190;3;1930;33.4
0;190;4;648;135
0;191;1;5932;107
0;191;2;2772;138.08
0;191;3;3407;109.64
0;191;4;434;218.64
0;192;1;11287;63.41
0;192;2;6672;66.87
0;192;3;943;80.56
0;192;4;41;175.19
0;193;1;18;17.45
0;193;2;56;14.05
0;193;3;106;67.73
0;193;4;45;48.33
0;194;1;1290;5.4
0;194;2;9640;9.2
0;194;3;9197;15.69
0;194;4;1657;39.98
0;196;1;227;21.33
0;196;2;194;6.71
0;196;3;245;116.05
0;196;4;156;82.51
0;197;1;1565;78.62
0;197;2;2166;64.14
0;197;3;1874;59.78
0;197;4;253;167.13
0;198;1;2168;40.35
0;198;2;2252;28.55
0;198;3;744;42.27
0;198;4;118;46.02
0;199;1;1060;2.12
0;199;2;1192;15.45
0;199;3;342;7.04
0;199;4;29;30.48
0;200;1;209;113.28
0;200;2;489;24.2
0;200;3;367;83.29
0;200;4;89;126.24
0;201;1;7606;18.6
0;201;2;7696;53.69
0;201;3;3648;46.61
0;201;4;613;152.74
0;203;1;3135;0.64
0;203;2;1740;1.53
0;203;3;261;5.62
0;203;4;9;1.65
0;204;1;3760;1.95
0;204;2;4434;7.46
0;204;3;1434;10.43
0;204;4;87;34.81
0;205;1;66;0.11
0;205;2;122;5.89
0;205;3;103;12.51
0;205;4;25;18.97
0;206;1;110;170.14
0;206;2;448;123.23
0;206;3;288;81.54
0;206;4;78;93.99
0;207;1;2363;20.44
0;207;2;1522;29.48
0;207;3;998;46.82
0;207;4;186;490.13
0;220;1;774;309.29
0;220;2;990;499.02
0;220;3;1116;921.39
0;220;4;448;1109.56
0;221;1;5411;1040.07
0;221;2;5963;969.78
0;221;3;4134;883.57
0;221;4;1453;911.62
0;222;1;1354;225
0;222;2;738;293.43
0;222;3;127;262.71
0;222;4;35;783.07
0;223;1;1492;274.53
0;223;2;1000;295.29
0;223;3;398;333.87
0;223;4;104;418.69
0;224;1;906;119.93
0;224;2;511;124.69
0;224;3;221;151.52
0;224;4;80;151.63
0;225;1;9176;170.67
0;225;2;3336;219.53
0;225;3;232;260.75
0;225;4;41;393.14
0;226;1;6343;108.54
0;226;2;878;40.18
0;226;3;138;94.7
0;226;4;17;61.9
0;227;1;4377;578.47
0;227;2;1961;618.94
0;227;3;243;669.82
0;227;4;60;886.34
0;228;1;12931;462.3
0;228;2;3546;421.47
0;228;3;355;389.6
0;228;4;54;363.07
0;229;1;780;209.23
0;229;2;891;306.68
0;229;3;541;339.69
0;229;4;222;589.95
0;240;1;863;64.2
0;240;2;2583;109.29
0;240;3;2856;163.07
0;240;4;426;235.01
0;241;1;3109;6.91
0;241;2;3433;12.42
0;241;3;1784;31.38
0;241;4;258;89.61
0;242;1;187;4.74
0;242;2;333;28.19
0;242;3;270;49
0;242;4;86;208.03
0;243;1;3840;27.17
0;243;2;2633;53.09
0;243;3;1022;66.96
0;243;4;124;92.31
0;244;1;4306;2.85
0;244;2;3882;4.58
0;244;3;1189;20.68
0;244;4;113;10.8
0;245;1;1115;5.62
0;245;2;1349;8.04
0;245;3;485;11.66
0;245;4;109;28.96
0;246;1;386;8.92
0;246;2;653;7.37
0;246;3;417;12.11
0;246;4;114;65.16
0;247;1;2908;5.18
0;247;2;3713;17.09
0;247;3;1984;34.59
0;247;4;292;81.21
0;248;1;2059;0.93
0;248;2;2126;7.04
0;248;3;1045;13.32
0;248;4;180;58.76
0;249;1;12256;1.15
0;249;2;10256;2.43
0;249;3;3189;6.48
0;249;4;284;21.24
0;251;1;3879;2.49
0;251;2;2162;4.85
0;251;3;434;10.81
0;251;4;32;19.96
0;252;1;381;46.16
0;252;2;927;89.71
0;252;3;570;190.55
0;252;4;94;545.01
0;253;1;515;13.48
0;253;2;1047;16.98
0;253;3;788;36.7
0;253;4;149;38.53
0;254;1;13333;11.32
0;254;2;6945;25.25
0;254;3;2927;34.08
0;254;4;325;69.44
0;260;1;381;653.06
0;260;2;880;689.07
0;260;3;777;783.09
0;260;4;280;1274.04
0;261;1;72;258.88
0;261;2;212;291.1
0;261;3;152;411.72
0;261;4;56;416.57
0;262;1;296;210.83
0;262;2;361;163.57
0;262;3;137;212.01
0;262;4;48;369.28
0;263;1;12400;244.35
0;263;2;5630;249.33
0;263;3;730;242.4
0;263;4;129;364.49
0;264;1;254;214.37
0;264;2;322;250.68
0;264;3;288;405.87
0;264;4;158;656.86
0;279;1;76;11.93
0;279;2;500;50.1
0;279;3;756;47.74
0;279;4;200;105.95
0;280;1;233;19.96
0;280;2;1039;30.82
0;280;3;1907;34.55
0;280;4;480;81.37
0;281;1;366;222.2
0;281;2;1826;223.63
0;281;3;2260;308.39
0;281;4;379;514.27
0;282;1;2213;56.29
0;282;2;3086;67.21
0;282;3;1124;109.08
0;282;4;244;208.43
0;283;1;942;33.48
0;283;2;1170;41.22
0;283;3;895;46.56
0;283;4;130;89.86
0;284;1;3390;132.58
0;284;2;4804;185.9
0;284;3;2365;259.42
0;284;4;484;334.36
0;301;1;12373;1866.25
0;301;2;11832;1848.3
0;301;3;2918;1950.16
0;301;4;486;1938.07
0;302;1;14458;2580.28
0;302;2;8371;2721.29
0;302;3;824;2870.69
0;302;4;102;3523.41
0;303;1;122;5030.03
0;303;2;105;6269.23
0;303;3;35;5956.19
0;303;4;7;6778.67
0;304;1;6483;2693.07
0;304;2;2273;3005.6
0;304;3;650;3287.95
0;304;4;65;3933.68
0;305;1;44;7.52
0;305;2;209;48.33
0;305;3;419;108.39
0;305;4;245;532.97
0;308;1;2317;639.46
0;308;2;4607;734.17
0;308;3;2945;832.57
0;308;4;548;956.15
0;309;1;1351;239.96
0;309;2;930;478.06
0;309;3;327;728.96
0;309;4;62;641.59
0;310;1;13198;83.7
0;310;2;4627;392.21
0;310;3;698;1542.69
0;310;4;59;1324.14
0;312;1;134;20.99
0;312;2;100;86.58
0;312;3;77;209.38
0;312;4;19;165.14
0;313;1;16575;365.67
0;313;2;3835;498.47
0;313;3;753;576.2
0;313;4;119;616.01
0;314;1;13015;270.8
0;314;2;2259;229.64
0;314;3;899;192.01
0;314;4;247;843.4
0;315;1;24748;296.96
0;315;2;9517;1055.33
0;315;3;937;978.78
0;315;4;128;1026.98
0;316;1;4454;181.73
0;316;2;767;283.09
0;316;3;94;150.68
0;316;4;5;435.55
0;317;1;5764;78.48
0;317;2;714;70.82
0;317;3;181;144.13
0;317;4;48;290.69
0;320;1;6002;266.62
0;320;2;1651;557.04
0;320;3;378;389.46
0;320;4;49;677.41
0;321;1;5563;1365.81
0;321;2;1458;1248.99
0;321;3;182;1580.97
0;321;4;57;2085.38
0;340;1;320;27.91
0;340;2;724;43.44
0;340;3;348;65.35
0;340;4;76;77.98
0;341;1;535;2.59
0;341;2;1514;0.62
0;341;3;1574;4.08
0;341;4;134;49.44
0;342;1;4834;13.37
0;342;2;2456;8.52
0;342;3;1115;13.43
0;342;4;123;79.37
0;343;1;148;5.55
0;343;2;718;25.53
0;343;3;1106;35.88
0;343;4;89;42.13
0;344;1;238;2.8
0;344;2;565;4.07
0;344;3;375;19.39
0;344;4;88;17.73
0;346;1;1419;1.89
0;346;2;1332;5.95
0;346;3;710;16.22
0;346;4;145;67.88
0;347;1;10379;4.93
0;347;2;6721;3.86
0;347;3;3380;6.5
0;347;4;333;47.66
0;349;1;950;20.92
0;349;2;932;16.16
0;349;3;301;28.03
0;349;4;48;47.54
0;351;1;4636;14.52
0;351;2;5020;13.66
0;351;3;2601;15.97
0;351;4;207;40.11
0;361;1;2398;29.35
0;361;2;495;30.79
0;361;3;314;83.71
0;361;4;49;302.13
0;362;1;4755;133.6
0;362;2;1426;186.91
0;362;3;97;177.84
0;362;4;11;223.75
0;363;1;11731;72.56
0;363;2;1079;100.64
0;363;3;292;74.86
0;363;4;6;187.96
0;364;1;7042;24.53
0;364;2;1437;284.44
0;364;3;561;605.1
0;364;4;83;706.06
0;380;1;135;0.76
0;380;2;736;4.93
0;380;3;1125;11.46
0;380;4;168;39.27
0;381;1;360;4.42
0;381;2;521;7.5
0;381;3;316;14.88
0;381;4;40;69.1
0;382;1;84;84.5
0;382;2;401;44.6
0;382;3;582;60.01
0;382;4;68;108.77
0;383;1;5166;0.95
0;383;2;3780;1.32
0;383;3;2144;6.02
0;383;4;256;27.62
0;384;1;3384;4.33
0;384;2;2940;0.88
0;384;3;1601;4.8
0;384;4;168;23.97
0;385;1;2915;3.93
0;385;2;1252;2.3
0;385;3;479;7.09
0;385;4;40;20
0;401;1;303;251.69
0;401;2;199;81.86
0;401;3;77;218.21
0;401;4;20;774.54
0;403;1;8022;1071.25
0;403;2;4237;1122.46
0;403;3;218;1262.35
0;403;4;42;1758.37
0;404;1;5072;269.11
0;404;2;1828;284.11
0;404;3;157;326.91
0;404;4;12;274.64
0;405;1;259;355.23
0;405;2;189;711.17
0;405;3;141;543.8
0;405;4;42;738.18
0;420;1;6347;1.65
0;420;2;2510;1.31
0;420;3;1835;10.7
0;420;4;224;53.15
0;421;1;2267;6.67
0;421;2;2180;11.28
0;421;3;1375;23.66
0;421;4;121;28.07
0;422;1;800;0.87
0;422;2;1742;2.55
0;422;3;1354;8.36
0;422;4;187;21.58
0;423;1;129;6.98
0;423;2;184;9.92
0;423;3;118;27.68
0;423;4;18;132.9
0;424;1;1431;1.57
0;424;2;1032;4.79
0;424;3;674;9.01
0;424;4;74;25.47
0;425;1;610;2.5
0;425;2;1994;2.98
0;425;3;1838;11.52
0;425;4;285;30.13
0;440;1;36;60.06
0;440;2;158;82.84
0;440;3;189;134.95
0;440;4;40;673.25
0;441;1;107;296.72
0;441;2;254;471.09
0;441;3;620;575.49
0;441;4;107;863.19
0;442;1;777;331.96
0;442;2;788;349.34
0;442;3;353;375.88
0;442;4;63;524.22
0;443;1;1347;185.64
0;443;2;835;229.04
0;443;3;474;253.6
0;443;4;105;501.22
0;444;1;421;124.2
0;444;2;976;103.64
0;444;3;284;167.56
0;444;4;26;240.99
0;445;1;1188;239.96
0;445;2;406;1503.55
0;445;3;127;216.25
0;445;4;22;466.42
0;446;1;9867;80.51
0;446;2;6335;97.62
0;446;3;658;135.16
0;446;4;92;260.1
0;447;1;206;972.15
0;447;2;549;568.07
0;447;3;324;609.8
0;447;4;83;1214.61
0;460;1;229;57.57
0;460;2;1242;36.54
0;460;3;2444;38.58
0;460;4;500;80.81
0;461;1;215;48.2
0;461;2;526;29.76
0;461;3;613;34.03
0;461;4;88;29.62
0;462;1;286;1.73
0;462;2;376;2.57
0;462;3;234;24
0;462;4;29;143.67
0;463;1;6584;1.12
0;463;2;7534;5.54
0;463;3;5242;11.33
0;463;4;829;30
0;465;1;6517;47.49
0;465;2;4711;62.29
0;465;3;363;81.6
0;465;4;61;145.44
0;466;1;430;17.65
0;466;2;993;62.62
0;466;3;1166;57.58
0;466;4;186;64.39
0;468;1;4990;22.77
0;468;2;3709;33.66
0;468;3;1980;20.02
0;468;4;230;50.68
0;480;1;2901;610.24
0;480;2;851;774.64
0;480;3;150;494.22
0;480;4;39;852.95
0;481;1;921;52.94
0;481;2;321;1827.87
0;481;3;38;602.26
0;481;4;3;505.44
0;482;1;4882;23.05
0;482;2;2477;26.59
0;482;3;408;97.96
0;482;4;48;111.67
0;483;1;2239;29.19
0;483;2;178;89.85
0;483;3;31;67.03
0;483;4;5;383.89
0;484;1;450;22.31
0;484;2;648;52.31
0;484;3;285;161.78
0;484;4;23;155.04
0;500;1;156;16.55
0;500;2;395;19.11
0;500;3;398;26.34
0;500;4;59;30.34
0;501;1;1715;5.11
0;501;2;1600;3.74
0;501;3;581;5.91
0;501;4;72;21.57
0;510;1;982;317.33
0;510;2;721;390.29
0;510;3;228;709.09
0;510;4;52;1220.92
0;511;1;134;192.06
0;511;2;237;351.44
0;511;3;110;491.64
0;511;4;21;1107.95
0;512;1;407;275.24
0;512;2;294;285.99
0;512;3;53;348.63
0;512;4;10;560.6
0;513;1;10917;177.28
0;513;2;3205;212.05
0;513;3;221;242.07
0;513;4;25;405.13
0;514;1;5930;437.64
0;514;2;1471;740.18
0;514;3;44;645.45
0;514;4;4;634.61
0;517;1;397;25.86
0;517;2;178;42.38
0;517;3;48;35.5
0;517;4;1;246.42
0;518;1;1683;73.06
0;518;2;677;163.91
0;518;3;145;325.57
0;518;4;30;373.05
0;519;1;3812;178.8
0;519;2;806;182.28
0;519;3;53;204.5
0;519;4;5;217.33
0;530;1;121;17.08
0;530;2;353;42.87
0;530;3;539;42.44
0;530;4;69;142.2
0;531;1;719;1.81
0;531;2;267;6.08
0;531;3;61;11.46
