vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3006;37579657;18238313;22161291;2348107;5100315
0;01;115840;267733254;22658461;82540563;4764618;16859300
0;02;28343;22955896;3987175;17532642;241889;4492506
0;03;70168;63053435;7457653;33618823;888190;9166330
0;04;118317;305249747;47470104;74108633;7217101;15016458
0;05;193906;368310604;57472069;229493500;10645571;135788948
0;06;168975;280674695;42782465;96508721;6152434;26087676
0;07;42648;92403945;19031741;32925673;2539647;9975068
0;08;213096;462836692;34804212;150145421;4859722;91273756
0;09;51131;93027878;9117908;25394177;1172123;5913246
0;10;36290;71454218;6233037;19786167;1564356;4400078
0;11;58884;99077921;13556385;33509903;2118309;7781157
0;12;27133;45948731;5714800;18696943;651463;3465744
0;13;46800;63250929;7000918;26413032;760116;6503588
0;14;123114;167538547;5200051;56317273;2472305;11014571
0;15;6398;21442423;1249273;7862272;569006;948134
0;16;12456;23007377;5519989;5393411;643495;3801440
0;17;34589;62411073;29750501;12829679;1644684;10581066
0;18;16258;34864746;7193709;7602309;1100203;2673133
0;19;33796;103584596;3435889;15244567;1126284;3421653
0;20;11673;19855624;868243;3721167;415013;1052232
0;21;21441;31462133;3228291;7774262;753575;2672310
0;22;814;2457912;158761;281927;26803;86505
0;23;43251;72795830;4109913;17165487;835780;5318507
0;24;595;2305756;558085;362467;64547;125771
0;25;1560;9275368;1970335;4378702;314522;1328681
0;FF;20072;81604148;10617118;22339335;1470778;6931011
