vrai_hop;rdrg;mean;p5;p25;p50;p75;p95
0;811;44;2;15;49;66;86
0;812;42;6;25;42;55;82
0;813;57;14;43;61;73;86
0;815;47;0;8;51;82;91
0;816;39;2;20;41;56;79
0;841;44;1;22;46;65;81
0;842;48;3;28;48;67;88
0;843;40;1;12;36;66;86
0;844;31;1;3;30;52;79
0;850;54;18;40;55;69;85
0;860;75;40;71;80;86;92
0;861;43;0;3;50;71;87
0;862;56;5;47;60;71;84
0;863;0;0;0;0;0;0
0;890;47;31;38;45;55;71
0;892;48;30;38;50;56;68
0;893;47;30;35;49;54;68
0;894;45;26;38;45;52;63
0;910;44;10;24;40;62;83
0;911;45;19;30;44;61;79
0;912;56;20;37;56;76;89
0;930;58;14;37;63;81;91
0;950;66;28;56;69;80;89
0;951;60;20;46;64;77;88
0;952;61;9;46;68;80;89
0;955;22;0;18;27;31;35
0;956;37;0;21;36;51;77
