vrai_hop;rdrg;SI;cat;N;total;p5;p25;p50;p75;p95
0;001;1;1;1;286;285.89;285.89;285.89;285.89;285.89
0;001;1;4;1;47;46.7;46.7;46.7;46.7;46.7
0;001;1;5;1;38;37.73;37.73;37.73;37.73;37.73
0;001;1;6;1;29;28.57;28.57;28.57;28.57;28.57
0;001;1;7;1;27;26.97;26.97;26.97;26.97;26.97
0;001;1;8;1;55;54.81;54.81;54.81;54.81;54.81
0;001;1;9;1;23;23.4;23.4;23.4;23.4;23.4
0;001;2;1;18;6980;89.17;291.85;363.92;466.63;931.36
0;001;2;2;3;17;3.11;3.11;6.61;7.38;7.38
0;001;2;4;18;1006;14.01;46.7;56.04;65.38;112.08
0;001;2;5;18;1356;6.22;30.18;45.27;89.92;250.76
0;001;2;6;16;508;4.27;11.26;22.68;27.95;129.64
0;001;2;7;18;695;5.58;27.51;32.89;40.3;135.16
0;001;2;8;18;589;2.56;17.86;30.72;43.5;93
0;001;2;9;18;1885;5.84;24.26;98.81;174.24;276.04
0;001;3;1;57;27127;277.26;363.48;450.48;565.14;920.57
0;001;3;2;13;66;1.93;3.11;5.05;6.22;9.34
0;001;3;3;6;39;1.56;1.56;3.5;12.44;16.18
0;001;3;4;56;4587;41.98;59.14;71.6;93.4;154.11
0;001;3;5;56;5024;20.77;47.53;80.3;127.69;183.98
0;001;3;6;43;906;1.94;6.21;16.31;29.5;55.92
0;001;3;7;57;2602;25.11;35.26;46.42;53.01;76.57
0;001;3;8;57;1919;15.52;24.09;29.1;42.23;61.92
0;001;3;9;52;7131;10.4;45.99;148.33;184.24;270.2
0;001;4;1;127;183644;351.96;614.64;1009.4;1635.73;3708.42
0;001;4;2;56;1245;1.94;5.24;11.05;22.53;93.38
0;001;4;3;6;55;3.08;3.08;8.56;10.89;21
0;001;4;4;127;25908;56.04;93.4;163.45;239.72;607.03
0;001;4;5;127;37628;41.44;106.74;216.06;356.14;906.88
0;001;4;6;115;4364;3.88;12.42;26.01;48.13;125.76
0;001;4;7;127;16321;37.74;59.52;103.15;149.71;323.9
0;001;4;8;127;11416;22.66;43.31;64.21;108.24;282.91
0;001;4;9;123;22732;23.4;78.56;185.17;237.26;415.97
0;002;2;0;1;0;0;0;0;0;0
0;002;2;1;10;4263;312.93;345.55;383.71;494.51;619.99
0;002;2;2;7;39;1.94;1.94;1.94;12.04;14
0;002;2;3;1;11;10.89;10.89;10.89;10.89;10.89
0;002;2;4;10;595;28.02;46.7;55.06;60.71;112.08
0;002;2;5;10;986;10.81;43.32;88.33;156.95;212.88
0;002;2;6;9;210;1.94;12.81;18.63;29.49;64.44
0;002;2;7;10;484;32.24;34.56;43.55;54.87;89.59
0;002;2;8;10;243;13.36;18.5;22.4;29.66;37.74
0;002;2;9;10;1234;6.61;11.68;142.7;172.31;283.84
0;002;3;1;35;17561;268.38;370.56;508.42;610.69;771.64
0;002;3;2;27;262;1.94;1.94;6.6;16.7;24.12
0;002;3;3;5;54;10.89;10.89;10.89;10.89;10.89
0;002;3;4;34;3075;28.02;52.14;85.8;112.08;189.87
0;002;3;5;34;3792;13.91;41.61;100.28;170.1;235.25
0;002;3;6;28;795;9.7;13.97;28.34;37.84;46.97
0;002;3;7;35;1816;30.92;39.68;48.67;64.09;86.72
0;002;3;8;35;727;5.6;13.84;19.12;25.18;39.12
0;002;3;9;35;5127;5.84;138.02;161.02;172.69;297.08
0;002;4;1;118;148752;400.97;626.63;910.4;1273.12;3852.68
0;002;4;2;80;1243;1.94;3.88;8.54;14.96;70.69
0;002;4;3;39;472;10.78;10.89;10.89;10.89;24.88
0;002;4;4;117;21284;51.37;110.52;142.36;214.42;472.44
0;002;4;5;117;30336;37.18;145.21;220.12;316.18;593.58
0;002;4;6;113;3600;7.76;15.52;28.34;39.19;75.31
0;002;4;7;118;13582;44.64;63.16;86.95;124.16;268.3
0;002;4;8;118;6651;11.66;18.96;32.74;52.66;173.26
0;002;4;9;118;20505;13.64;152.82;175.67;198.74;304.48
0;003;1;0;22;0;0;0;0;0;0
0;003;1;1;47;4735;3.12;15.79;35.56;182.92;291.29
0;003;1;2;18;222;1.94;9.34;14.78;15.56;18.67
0;003;1;4;20;1152;4.67;17.68;67.71;98.07;113.44
0;003;1;5;35;2584;3.81;11.28;54.77;130.58;177.2
0;003;1;6;27;679;3.5;7.76;15.52;54.32;69.85
0;003;1;7;46;931;1.86;2.17;9.06;36.08;64.76
0;003;1;8;38;509;1.24;5.68;8.15;15.39;44.33
0;003;1;9;29;1003;1.56;5.84;19.82;53.73;111.62
0;003;2;0;5;0;0;0;0;0;0
