vrai_hop;rdrg;SI;N;total;p5;p25;p50;p75;p95
0;602;3;71;4776;0;0;37.15;111.45;226.73
0;602;4;80;16933;0;37.15;113.36;261.96;740.88
0;603;1;47;519;0;0;0;0;74.3
0;603;2;81;1969;0;0;0;37.15;94.51
0;603;3;52;4567;0;0;69.68;105.71;338.05
0;603;4;28;7328;0;37.15;95.26;229.32;1517.97
0;610;2;1;227;226.73;226.73;226.73;226.73;226.73
0;610;3;1;0;0;0;0;0;0
0;610;4;26;8080;0;73.1;115.28;379.16;860.11
0;611;1;12;418;0;0;0;14.41;285.54
0;611;2;28;1047;0;0;0;29.35;188.53
0;611;3;57;3111;0;0;0;74.3;246.76
0;611;4;27;2502;0;0;73.7;115.28;382.99
0;612;1;25;37;0;0;0;0;0
0;612;2;58;1811;0;0;0;0;234.39
0;612;3;75;3101;0;0;0;37.15;230.59
0;612;4;48;3146;0;0;16.79;75.58;270.13
0;613;1;9;154;0;0;0;37.15;63.76
0;613;2;15;1636;0;0;0;98.58;1071.39
0;613;3;10;1300;0;0;22.88;192.61;668.16
0;613;4;9;655;0;0;73.7;100.65;204.35
0;614;1;146;1549;0;0;0;0;78.23
0;614;2;138;2598;0;0;0;0;108.54
0;614;3;62;2529;0;0;0;78.13;152.94
0;614;4;17;947;0;0;37.15;74.3;237.97
0;620;2;4;15;0;0;0;7.72;15.44
0;620;3;12;799;0;0;36.68;57.64;422.7
0;620;4;34;8935;0;37.15;113.36;295.04;1246.73
0;621;1;26;402;0;0;0;0;131.28
0;621;2;38;386;0;0;0;0;90.89
0;621;3;36;451;0;0;0;0;128.58
0;621;4;29;4858;0;0;37.15;78.13;784.74
0;622;1;24;285;0;0;0;0;138.59
0;622;2;35;322;0;0;0;0;78.13
0;622;3;46;974;0;0;0;0;180.72
0;622;4;24;2971;0;0;18.27;135.77;457.91
0;623;1;8;140;0;0;0;0;140.27
0;623;2;23;794;0;0;0;38.43;168.36
0;623;3;14;1194;0;0;37.15;96.07;513.2
0;623;4;12;1712;0;0;52.6;270.08;492.52
0;624;1;136;661;0;0;0;0;12.61
0;624;2;109;509;0;0;0;0;0
0;624;3;19;634;0;0;0;37.15;291.58
0;624;4;7;321;0;0;0;74.3;246.56
0;625;1;59;1264;0;0;0;0;175.59
0;625;2;47;712;0;0;0;0;98.8
0;625;3;33;344;0;0;0;0;37.15
0;625;4;6;528;0;0;18.57;44.96;445.74
0;626;1;28;74;0;0;0;0;2.26
0;626;2;65;399;0;0;0;0;63.24
0;626;3;77;485;0;0;0;0;50.94
0;630;2;15;2953;0;0;133.22;211.35;1122.66
0;630;3;9;5549;0;115.28;187.84;348.4;3900.83
0;630;4;71;46907;14.64;174.2;326.63;680.7;2857.92
0;631;1;5;37;0;0;0;0;37.15
0;631;2;39;705;0;0;0;0;111.45
0;631;3;21;887;0;0;0;37.15;177.02
0;631;4;52;8592;0;0;67.14;198.34;822
0;632;1;120;206;0;0;0;0;0
0;632;2;36;47;0;0;0;0;9.76
0;632;3;17;268;0;0;0;32.94;96.07
0;632;4;13;2647;0;0;11.99;96.07;1775.02
0;633;1;96;857;0;0;0;0;37.13
0;633;2;183;1356;0;0;0;0;37.15
0;633;3;120;3492;0;0;0;36.81;174.83
0;633;4;79;13488;0;0;4.5;152.43;617.79
0;634;1;37;88;0;0;0;0;20.36
0;634;2;72;345;0;0;0;0;42.06
0;634;3;75;856;0;0;0;0;37.15
