vrai_hop;rdrg;SI;ntot;nfarm;Sum;p5;p25;p50;p75;p95
0;001;1;2;2;3478.69;1561.76;1561.76;1739.34;1916.93;1916.93
0;001;2;34;34;101421.55;647.74;868;1492.86;2624.25;13981.08
0;001;3;91;91;506715.51;634.12;1775.35;3845.1;5857.62;21008.64
0;001;4;116;116;1294477.39;1884.03;4631.13;8167.92;14895.28;30677.25
0;002;2;8;8;52183.33;2786.46;4396.06;5941.75;9297.27;10126.69
0;002;3;66;66;377112.21;2205.81;3734.05;5208.48;6852.17;11984.33
0;002;4;91;91;1086110.72;2049.38;5729.76;8951.67;14526.44;32191.86
0;003;1;323;322;1263045.94;42.64;1496.73;2801.91;4906.28;12779.21
0;003;2;389;388;2827517.59;1394.81;2852.29;4370.69;9731.15;22215.52
0;003;3;82;82;949294.09;2103.63;4017.2;7846.26;15485.22;32813.53
0;003;4;72;72;1939197.25;5272.6;9082.93;18718.45;32429.75;85636.85
0;004;1;1;1;2936.52;2936.52;2936.52;2936.52;2936.52;2936.52
0;004;2;19;19;27417.81;13.88;360.99;933.41;2525.52;5917.72
0;004;3;118;118;323041.64;116.92;1093.14;2220.88;3730.14;6351.22
0;004;4;950;948;6614124.16;818.21;2792.52;4833.41;8610.15;20472.82
0;005;1;2;2;2772.69;455.61;455.61;1386.34;2317.08;2317.08
0;005;2;19;19;38935.78;491.36;995.59;1302.24;2640.1;7229.69
0;005;3;154;154;460282.45;653.18;1263.84;2189.83;3700.29;8986.9
0;005;4;503;503;2779675.23;980.16;2335.73;3842.45;6474.84;15658.01
0;006;3;4;4;30016.34;4048.49;5958.93;8243.38;9049.23;9481.08
0;006;4;5;5;79856.36;4209.02;9713.17;15612.11;20117.45;30204.61
0;020;1;281;279;61403.28;35.92;82.96;136.94;245.78;747.32
0;020;2;107;106;43670.77;49.44;149.39;233.46;560.56;1368.94
0;020;3;288;287;235927.5;76.64;187.24;455.08;1033.49;2616.93
0;020;4;167;167;329860.16;385.96;730.84;1666.04;2422.94;5640.84
0;021;1;1228;1223;472723.33;48.8;143.52;289.64;434.53;1298.68
0;021;2;1418;1417;817138.89;83.52;241.17;381.81;586.05;1970.25
0;021;3;849;848;888488.23;142.72;378;602.98;1173.79;3284.45
0;021;4;451;451;1047770.6;230.52;700.28;1602.16;2821.16;6784.61
0;022;1;261;261;23844.39;21.76;39.96;56.8;81.56;224.76
0;022;2;320;319;55588.7;29.2;51.72;84.84;145.71;490.64
0;022;3;211;210;219600.08;53.36;188.36;536.11;1188.15;2247.32
