vrai_hop;rmdc;rdrg;SI;ATC1;Nfarm;Sum;p5;p25;p50;p75;p95
0;-p;001;1;A;1;36.28;36.28;36.28;36.28;36.28;36.28
0;-p;001;1;B;1;1765.14;1765.14;1765.14;1765.14;1765.14;1765.14
0;-p;001;1;H;1;157.56;157.56;157.56;157.56;157.56;157.56
0;-p;001;1;J;1;753.83;753.83;753.83;753.83;753.83;753.83
0;-p;001;1;L;1;2588.18;2588.18;2588.18;2588.18;2588.18;2588.18
0;-p;001;1;M;1;47.88;47.88;47.88;47.88;47.88;47.88
0;-p;001;1;N;1;280.6;280.6;280.6;280.6;280.6;280.6
0;-p;001;1;V;1;2.36;2.36;2.36;2.36;2.36;2.36
0;-p;001;2;A;17;753.16;9.76;23.44;28.64;42.12;140.12
0;-p;001;2;B;18;11568.06;32.08;213.79;532.73;923.16;2114.06
0;-p;001;2;C;15;1051.8;4.68;5.4;9;101.92;365.96
0;-p;001;2;D;5;17.44;1.76;1.76;4.64;4.64;4.64
0;-p;001;2;H;15;1410.12;6.8;18;74.92;138.48;324.72
0;-p;001;2;J;18;35759.53;13.68;79;292.06;840.84;13245.43
0;-p;001;2;L;17;11554.46;24.82;138.97;204.75;294.89;6754.53
0;-p;001;2;M;18;524.96;0.36;15.88;24.68;39.68;86.24
0;-p;001;2;N;18;2726.08;40.36;76.16;101.54;214.8;523.52
0;-p;001;2;R;9;107.25;0.79;1.04;6.88;11.08;48.52
0;-p;001;2;V;14;2356.33;8.6;59.76;82.03;147.52;694.96
0;-p;001;3;A;57;2790.64;14;21.76;35.76;63.76;109.88
0;-p;001;3;B;57;65819.32;266;631.72;979.14;1692.34;2361.22
0;-p;001;3;C;56;1502.08;1;3.56;9.14;22.38;147.32
0;-p;001;3;D;21;71.6;1.76;1.76;1.8;4.64;9.28
0;-p;001;3;G;2;12.4;1.6;1.6;6.2;10.8;10.8
0;-p;001;3;H;48;2713.19;5.72;17.94;34.84;76.84;199.64
0;-p;001;3;J;57;110507.45;22.36;112.84;374.87;1354.9;13922.24
0;-p;001;3;L;51;51083.1;38.72;145.74;353.05;757.37;3085.27
0;-p;001;3;M;53;1362.28;7.96;15.88;18;35.72;60.24
0;-p;001;3;N;57;7442.2;10.8;56.76;91.72;170.88;341.4
0;-p;001;3;P;1;10.24;10.24;10.24;10.24;10.24;10.24
0;-p;001;3;R;33;863.35;0.32;2.8;9.52;23.32;56
0;-p;001;3;S;4;42.8;3.4;3.54;9.96;17.86;19.48
0;-p;001;3;V;36;12523.16;30.04;78.88;163.84;450.39;1385.84
0;-p;001;4;A;127;20389.4;25.2;48.56;92.56;196.72;486.2
0;-p;001;4;B;127;523056.84;372.82;1418.12;2740.67;5098.4;12993.73
0;-p;001;4;C;126;15404.8;1.36;8.04;20.86;59.6;468.48
0;-p;001;4;D;43;178.92;1.76;1.76;3.56;5.32;9.24
0;-p;001;4;G;9;5247.42;0.6;5.84;35;193.48;3421.67
0;-p;001;4;H;124;52294.38;10.52;37.5;91.94;367.56;2182.74
0;-p;001;4;J;127;780897.11;57.28;373.35;1107.52;7274.96;28888.78
0;-p;001;4;L;125;208748.17;130.51;467.19;903.32;2078.42;5078.27
0;-p;001;4;M;121;7112.52;9.32;23.84;35.84;61.2;174.88
0;-p;001;4;N;127;91078.08;53.84;130.08;233.88;508.56;1707.24
0;-p;001;4;P;10;394;10.36;20.44;39.6;56.68;76.48
0;-p;001;4;R;91;2682.25;0.56;3.94;14.92;37.12;120.48
0;-p;001;4;S;11;78.56;1.64;2.16;3.4;12.92;19.04
0;-p;001;4;V;109;53261.9;8.44;79.12;200.92;692.92;2094.36
0;-p;002;2;A;10;318.36;15.84;21.76;27.58;40.16;60.92
0;-p;002;2;B;11;4142.61;65.02;215.14;257.88;444.76;1136.6
0;-p;002;2;C;11;879.52;8.68;16.76;33.72;137.64;310.68
0;-p;002;2;D;2;3.56;1.76;1.76;1.78;1.8;1.8
0;-p;002;2;H;10;1617.48;65.2;107.72;132.92;163.52;363.8
0;-p;002;2;J;11;8817.37;12.04;33.08;602.71;1449.91;2513.72
0;-p;002;2;L;11;25717.39;17.15;1943.45;2231.28;2722.73;4735.9
0;-p;002;2;M;10;229.32;12.12;16.08;23.8;31.88;32.68
0;-p;002;2;N;11;1272.68;31.96;92.72;116.2;141.52;188.6
0;-p;002;2;R;6;157.56;0.64;3.16;8.8;16.24;119.92
0;-p;002;2;S;1;2.16;2.16;2.16;2.16;2.16;2.16
0;-p;002;2;V;6;879.36;2;4.04;159.5;277.16;277.16
0;-p;002;3;A;34;2225.64;13.12;37;58.32;96.72;115.84
0;-p;002;3;B;35;21838.92;168.11;268.68;498.96;717.79;1176.72
0;-p;002;3;C;35;3717.96;0.28;15.08;57.2;179.84;328.88
0;-p;002;3;D;14;46.48;1.76;1.76;3.52;4.64;7.12
0;-p;002;3;G;1;5.4;5.4;5.4;5.4;5.4;5.4
0;-p;002;3;H;34;5767.97;37.88;94.04;123.54;227.48;426.68
0;-p;002;3;J;34;68911;13.6;133.17;1176.75;3451.6;7040.9
0;-p;002;3;L;34;88923.43;681.23;1889.3;2374.58;3484.36;4656.6
0;-p;002;3;M;33;1159.84;4;12.28;20.88;31.76;129.36
0;-p;002;3;N;35;5387.4;32.48;100.04;131.12;188.76;405.04
0;-p;002;3;R;13;227.27;0.12;3.64;7.08;16.52;111.52
0;-p;002;3;S;4;29;2.16;4.26;8.12;10.24;10.6
0;-p;002;3;V;22;5873.23;4;4.08;277.16;415.74;560.44
0;-p;002;4;A;118;15947;26.28;63.16;101.94;179.92;402.52
0;-p;002;4;B;118;201423.62;331.51;647.98;1096.93;2067.97;5056.91
0;-p;002;4;C;118;29611.36;4.68;21.36;87.68;247.04;882.36
0;-p;002;4;D;62;268.2;1.76;1.76;3.56;4.64;9.28
0;-p;002;4;G;5;1010.1;0.72;3.6;38;112.36;855.42
0;-p;002;4;H;118;23255.41;77.44;102.28;163.16;262.24;473.36
0;-p;002;4;J;118;523306.96;72.16;1154.63;2230.54;4941.33;17473.97
0;-p;002;4;L;118;339491.99;641.22;1479.26;2349.66;3618.47;5593.35
0;-p;002;4;M;114;7117.84;8.36;20.2;32.1;56.08;153.68
0;-p;002;4;N;118;47872.62;65.44;172.4;225.68;402.88;1083.24
0;-p;002;4;P;1;37.76;37.76;37.76;37.76;37.76;37.76
0;-p;002;4;R;91;2789.18;0.8;3.96;8.75;28.16;127.12
0;-p;002;4;S;32;303.6;0.8;2.16;6.48;12.8;29.44
0;-p;002;4;V;105;40451.99;2.04;58.44;291.44;564.48;1020.12
0;-p;003;1;A;53;4162.68;0.44;2.2;8.96;121.6;313.52
0;-p;003;1;B;71;8488.17;4.76;11.72;21.6;163.44;735.12
0;-p;003;1;C;30;117.08;0.24;0.44;0.88;3.92;24.4
0;-p;003;1;D;1;21.2;21.2;21.2;21.2;21.2;21.2
0;-p;003;1;G;3;12.08;2.44;2.44;3.2;6.44;6.44
0;-p;003;1;H;25;307.44;1.76;2.12;3.52;7.32;63.4
0;-p;003;1;J;65;51654.84;3.4;6.76;12.32;487.52;4276.87
0;-p;003;1;L;21;68204.57;71.6;895.44;1310.47;5048.81;8001.5
0;-p;003;1;M;58;599.68;0.28;0.72;4.12;6.2;20
0;-p;003;1;N;59;2041.12;1.76;13.56;30.56;45.88;82.36
0;-p;003;1;P;1;57.36;57.36;57.36;57.36;57.36;57.36
0;-p;003;1;R;19;313.59;0.12;0.36;0.92;4.76;187.16
0;-p;003;1;S;4;18.24;3.24;3.38;4.4;5.74;6.2
0;-p;003;1;V;12;652.72;2.04;8.14;37.4;88.76;163.73
0;-p;003;2;A;177;41471.85;0.76;100.08;194.32;360.96;559.4
0;-p;003;2;B;189;86753.14;6.36;150.72;326.24;650.16;1287.61
0;-p;003;2;C;153;15058;0.24;1.24;2.84;8.36;1033.92
0;-p;003;2;D;14;60.04;1.76;2.12;3.24;6.32;10.88
0;-p;003;2;G;12;38.12;0.24;0.82;1.98;5.38;9.72
0;-p;003;2;H;143;5502.37;2.12;3.44;9.48;19.28;168.08
0;-p;003;2;J;176;371235.71;12.28;490.89;1086.48;2022.19;9301.78
0;-p;003;2;L;165;333838.14;32.26;669.16;1309.83;1997.18;7588.41
0;-p;003;2;M;117;2562.8;0.16;0.44;0.68;1.56;282.56
0;-p;003;2;N;166;4477.92;1.2;4.12;13.78;30.88;82.04
0;-p;003;2;P;15;454.36;0.08;18.88;37.76;38;56.68
0;-p;003;2;R;115;502.96;0.12;0.2;0.72;2.52;28.6
0;-p;003;2;S;22;122.68;1.08;1.64;3.68;6.16;18.48
0;-p;003;2;V;58;22763.47;4;19.38;49.54;77.28;2562.03
0;-p;003;3;A;276;80550.25;35.48;146.28;240.78;387.94;687.72
0;-p;003;3;B;278;207746.33;117.96;296.96;626.97;905.24;2187.96
0;-p;003;3;C;242;32989.76;0.32;1.32;3.9;13.12;1109.08
0;-p;003;3;D;13;57.2;1.76;1.76;3.24;3.6;17.92
0;-p;003;3;G;29;286.64;0.4;1.4;3.44;6.6;53.64
0;-p;003;3;H;247;13739.69;2.12;4.56;11.6;38.84;207.16
0;-p;003;3;J;277;876742.61;175.68;893.44;1669.36;2945.08;11220.06
0;-p;003;3;L;272;619177.86;172.23;847.64;1340.95;2643.21;7426.75
0;-p;003;3;M;162;4005.88;0.28;0.52;0.8;1.44;282.48
0;-p;003;3;N;252;9895.92;1.48;8.28;17.84;45.46;129.12
