vrai_hop;rdrg;N;moy_gemid
0;812;10946;4.39
0;813;4697;44.16
0;815;2284;9.32
0;816;1699;1.36
0;841;11;91.51
0;842;293;55.44
0;843;14;22.8
0;844;714;3.91
0;850;9906;1131.27
0;860;2688;16.14
0;861;35426;7.43
0;862;14218;35.61
0;863;867;0.81
0;890;114;69.86
0;892;261;19.58
0;893;60;42.43
0;894;276;25.37
0;910;184;977.69
0;911;166;1074.89
0;912;1179;1317.54
0;930;1202;25.18
0;950;4925;795.09
0;951;12457;329.09
0;952;5636;269.1
0;955;61;0
0;956;256;22.42
