vrai_hop;rdrg;SI;total;p5;p25;p50;p75;p95
0;001;1;97314.37;34509.03;34509.03;48657.18;62805.34;62805.34
0;001;2;1166441.16;25752.79;27962.39;30816.98;34093.07;41881.63
0;001;3;3781065.87;24900.19;32164.33;38116.57;45090.55;69720.07
0;001;4;8178608.88;39490.17;50863.53;72480.26;92232.98;261310.16
0;002;2;325084.34;40564.37;42055.28;45015.63;51134.05;52903.21
0;002;3;2336795.48;31922.37;40915.86;46308.95;52633.65;71649.48
0;002;4;7942707.85;44142.6;52825.79;64710.72;113626.42;244226.34
0;003;1;7738729.49;15014.41;19095.02;28315.84;44062.88;80669.37
0;003;2;17990965.92;15888.49;22727.86;32715.81;48827.15;88924.22
0;003;3;8334386.5;16407.97;30041.27;44774.17;68519.26;138049.42
0;003;4;12242140.04;35796.2;64983.87;87611.12;130057.87;224992.76
0;004;1;136799.86;1343.61;4188.75;7507.31;20661.11;70741.89
0;004;2;1719140.82;5012.86;11073.5;18977.41;32723.99;52287.88
0;004;3;11598777.41;5922.04;20834.5;34256.53;50488.75;76274.07
0;004;4;102690619.55;13888.94;39230.77;61160.87;90542.62;157135.61
0;005;1;78246.44;18095.6;18095.6;24302.25;35848.59;35848.59
0;005;2;775664.24;13648.82;23734.07;36239.05;50671.75;79216.17
0;005;3;5341579.12;13146.45;29965.12;41663.2;53783.09;92918.89
0;005;4;27730203.54;24749.43;40426.82;57077.04;76296.74;118672.26
0;006;2;90391.16;43916.41;43916.41;45195.58;46474.75;46474.75
0;006;3;101036.38;37320.55;37320.55;50518.19;63715.83;63715.83
0;006;4;82051.09;34980.01;34980.01;41025.54;47071.08;47071.08
0;020;1;1504289.58;3029.05;5670.76;7408.64;10286.44;28600.1
0;020;2;1258164.97;3546.38;6321.9;8705.59;15549.71;39471.76
0;020;3;4361018.52;5112.66;9557.51;18265.57;28180.5;54739.42
0;020;4;5253969.8;8520.82;20559.05;32658.56;52582.42;82621.13
0;021;1;9160287.82;3296.3;6810.13;8678.54;11382.88;27699.4
0;021;2;19512374.72;5222.05;8395.15;10240.64;13221.06;31186
0;021;3;22479890.89;5950.82;9727.4;13455.31;20782.15;45678.13
0;021;4;26717019.93;8122.65;18438.23;30737.76;55855.71;102177.43
0;022;1;1110523.74;3336.1;4672.68;5616.36;6476.07;12190.41
0;022;2;1615251.27;3869.77;5656.18;6873.85;10935.9;23607.49
0;022;3;1343533.03;3676.12;6460.01;9058.02;16579.12;58142.5
0;022;4;912310.4;6113.06;19293.96;31515.63;38603.62;81254.47
0;023;1;2805764.14;1143.9;2428.53;3529.35;5465.14;14086.64
0;023;2;3596421.06;1375.76;4026.65;7260.83;11500.37;34218.6
0;023;3;4048412.68;4715.02;9432.49;14423.28;29273.7;71281.73
0;023;4;2796043.8;7102.59;23737.53;37957.96;64986.79;114536.37
0;024;1;11846774.05;2358.85;3164.29;3976.75;7671.25;23591.12
0;024;2;10811380.06;2691.71;3515.87;4507.7;7329.16;23469.22
0;024;3;22438531.27;4295.74;8849.68;11925.59;18710.65;41214.06
0;024;4;9854206.44;7462.45;12885.73;23572.5;38869.68;67921.56
0;026;1;6262487.28;1059.23;1341.83;1912;5420.03;19226.01
0;026;2;5007283.09;1159.55;1898.39;5306.21;11658.78;23054.88
0;026;3;4922551.39;2361.16;9659.52;14369.94;23833.15;49132.94
0;026;4;3131300.57;8776.83;15254.86;28390.85;59106.32;130834.22
0;040;1;404263.4;906.54;1295.54;2385.48;3917.18;12234.47
0;040;2;1378563.92;1015.95;2450.22;4346.49;8984.84;37762.47
0;040;3;1647593.27;1242.33;5043.82;9494.52;15974.87;82967.78
0;040;4;352877.89;3443.71;9053.24;17410.61;38918.29;67190.01
0;041;1;1323111.29;1048.19;2027.35;3734.31;5723.99;14642.09
0;041;2;5494663.89;1163.75;2417.7;4213.64;7039.17;16641.33
0;041;3;10639846.69;1648.8;4304.62;7322.85;12524.95;24808.49
0;041;4;3257100.88;1852.42;5770.63;12613.9;20293.47;46685.77
0;042;1;7206067.63;852.87;1322.16;2814.68;5671.19;13531.35
0;042;2;40621326.9;1332.72;3976.58;6764.58;10545.32;21813.39
0;042;3;31868704.94;2341.74;6241.17;10028.26;15005.69;28203.88
0;042;4;6096646.58;3140.42;9407.58;16086.87;23997.28;56734.34
0;043;1;9110362.1;966.01;2359.16;4132.99;6901.76;13489.69
0;043;2;6275215.35;1336.79;3468.37;4935.6;9065.96;17348.02
0;043;3;1861820.17;2300.52;5090.14;8465.23;15312.44;41086
0;043;4;260200.02;1118;7763.75;10571.62;31317.83;43943.56
0;044;1;2257241.69;842.84;1611.32;3562.25;6248.08;17734.98
0;044;2;6433250.75;904.41;2640.43;5215.81;10058.66;27672.83
0;044;3;13114630.47;890.61;2360.23;6129.54;12174.19;35383.11
0;044;4;7284684.58;811.58;1498;4977.67;18820.12;51966.35
0;045;1;6641392.49;1380.43;2378.41;3309.26;4622.57;10753.05
0;045;2;52929108.64;1708.28;3121.81;4669.55;7620.83;21190.26
0;045;3;50455170.59;2112.91;4737.29;8194.71;14761.75;36046.04
0;045;4;16233127.72;1674.26;6113.3;13520.16;25077.86;53682.22
0;046;1;258776.35;808.72;1351.82;2051.49;3396.03;6420.47
0;046;2;1210272.07;1055.96;2292.11;3520.2;5081.9;8848.09
0;046;3;950941.07;1455.37;2802.41;4659.95;8556.43;19142
0;046;4;178744.38;1128.75;2309.05;10353.25;28981.05;31281.79
0;047;1;6147618.06;1033.69;1659.13;2343.65;3245.6;5584.84
0;047;2;12624838.47;1202.8;2039.44;3059.43;4541.66;8645.8
0;047;3;5348450.6;1543.25;3294.32;5350.3;8469.67;16285.8
0;047;4;677815.66;1597.31;5342.04;10510.55;21353.38;40889.57
0;048;1;3017752.05;861.6;1217.4;1921.55;3370.54;7939.65
0;048;2;4935480.47;1036.85;2332.73;3925.34;6387.09;11620.54
0;048;3;7349222.62;1112.86;3027.92;5421.18;10233.12;23283.62
0;048;4;1363942.29;5374.67;11774.72;18213.34;30196.5;85130.11
0;049;1;251160.01;1008.05;3689.21;5674.13;8669.26;16091.16
0;049;2;3461881.8;1149.64;5511.11;10537.73;15183.48;28936.54
0;049;3;2364812.8;1996.21;6493.08;13827.59;27325.21;57527.53
0;049;4;2175724.11;7273.55;15253.67;25344.63;44816.77;85318.05
0;050;1;845644.52;1077.69;2471.57;4042.74;6738.35;13351.78
0;050;2;2581121.97;1134.65;2773.25;4853.92;8669.32;23132.02
0;050;3;2413832.74;2294.12;7227.97;10917.68;15094.64;29571.88
0;050;4;1469260.92;2303.36;9995.27;16396.06;26880.46;63530.3
0;051;1;567785.29;920.95;1639.44;2553.43;3455.56;5463.13
0;051;2;973749.63;1477.76;2680.67;4312.82;7255.38;15730.84
0;051;3;275004.17;1979.85;3405.41;6383.49;10034.91;26715.5
0;051;4;145821.17;13134.44;13887.58;26670.13;27496.63;64632.39
0;052;1;1616780.28;821.66;1025.89;1358.1;1952.15;4124.34
0;052;2;2093141.04;896.57;1396.66;2790.58;5159.63;10427.31
0;052;3;4241422.94;1112.95;3081.76;5250.95;9197.45;20830.24
0;052;4;2432380.37;2095.52;6974.66;12321.15;20816.5;57099.95
0;053;1;10696255.62;825.06;1000.02;1268.7;1835.53;4218.6
0;053;2;15393659.82;878.26;1239.19;1913.83;3496.23;8967.23
0;053;3;15448056.84;950.39;1560.4;3373.1;6988.02;19515.26
0;053;4;7078654.11;1461.91;4957.57;10423.78;19482.79;42997
