vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3133;79802411;23954453;50623863;4629565;17457680
0;01;124431;510270990;36412239;125829068;6615579;74032363
0;03;122105;130484549;6461168;62961163;1316237;41645683
0;04;142535;581488594;35517683;113411738;10670852;66006959
0;05;203926;595557722;35730121;301566711;13875691;305457282
0;06;187607;491280846;40672083;147888748;8321813;106631313
0;07;55475;171633428;16031368;56409128;3790158;34940733
0;08;253224;881360676;37517730;298745538;7453711;309669657
0;09;60116;169861367;8048431;52647379;1774825;24660070
0;10;52244;139012675;8760699;47626457;2430975;36531996
0;11;83429;234869752;17382321;64176460;3968811;37771736
0;12;23042;50354279;4483554;23483585;523412;13832357
0;13;32558;54939005;4055363;29793938;525342;16911185
0;14;138703;251178952;7950771;103711063;2808183;40664640
0;15;5880;60501316;2627739;23020976;968007;5112729
0;16;16858;57955105;10144168;10735742;1337013;11990867
0;17;35704;104562306;47859218;23002637;2614799;25644686
0;18;35534;160532938;16445212;31944656;4066730;19912254
0;19;24656;116312825;1508917;14067357;840402;10898782
0;20;12488;39365586;620271;4905922;459256;4418268
0;22;1032;11554711;334037;956941;125122;757508
0;23;63105;167100038;6788536;33363362;1595695;33576755
0;24;711;4893537;1069308;726175;125953;546331
0;25;2731;29353985;2550451;9032755;629749;4793668
0;FF;23335;176449580;14574021;44739060;3602824;27120262
0;02;14826;18883114;798242;15826727;160655;7851058
0;21;24678;64127195;3248200;12522614;1148661;10381500
