vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3850;66836750;28748064;35508831;4815162;13113885
0;01;126101;367776107;28479679;103589580;6115075;52372412
0;02;17374;19659003;1282198;14101612;208839;6466406
0;03;66800;69654478;7519668;37561183;948242;19416191
0;04;127193;382287563;48625566;86530922;9293325;45734497
0;05;202443;460990941;60290704;265348581;14156788;221187899
0;06;180316;360027513;52344412;120177961;7965269;69510821
0;07;47186;120933323;21010185;42224641;3387899;22667551
0;08;226332;598120357;42293535;216736153;6242836;191604679
0;09;53353;113240207;9666255;33698255;1422585;16179342
0;10;50706;110040428;9032953;32254756;2390486;21310873
0;11;69490;140976506;17758449;47236234;3184437;24570595
0;12;25597;46493494;5075317;22417118;589906;13310678
0;13;43919;63347166;6252630;30125857;673596;16351387
0;14;138398;217248328;10091277;81245599;2829350;33064219
0;15;8871;41680033;1606358;13340521;983342;3961946
0;16;15862;37706220;9577704;7715679;1097627;9015237
0;17;39618;80647978;46737080;15963899;2261386;19843924
0;18;20281;60896423;12615853;12431147;1860781;8458465
0;19;29384;99215681;2756044;14216962;1024524;10252333
0;20;13667;31336004;1056765;5295678;562532;3857399
0;21;26126;49384143;5463435;12093515;1158401;8449185
0;22;1133;9288028;688684;1029559;156395;601254
0;23;45295;104831032;6399603;22341216;1308105;15352020
0;24;951;4529826;1234839;734357;148196;533649
0;25;1862;13501809;2082307;5113874;438896;2568160
0;FF;12393;76922982;9268733;19693107;1503596;12300525
