vrai_hop;rdrg;SI;ntot;nfarm;Sum;p5;p25;p50;p75;p95
0;001;1;4;4;22671.6;355.03;380.13;4041.21;10955.67;14234.14
0;001;2;16;16;55489.06;89.99;835.14;2036.95;3980.43;15748.75
0;001;3;36;36;175011.25;386.99;1781.65;2508.19;4628.54;18970.14
0;001;4;152;152;1245430.21;1171.8;2648.6;4498.51;9395.77;26545.86
0;002;2;4;4;23876.14;1385.22;2985.71;6499.03;8952.35;9492.85
0;002;3;27;27;141446.64;1416.85;2425.38;5087.71;7323.24;12096.45
0;002;4;107;107;1034032.53;2426.62;4557.89;6745.89;11922.61;26328.55
0;003;1;62;59;255452.38;82.93;1189.11;4071.41;6025.15;15332.23
0;003;2;91;88;582340.68;495.34;3025.47;5326.09;8602.86;16270.98
0;003;3;197;196;1469680.72;1700.49;3828.16;5888.83;8666.18;20812.49
0;003;4;262;261;3210811.47;3026.92;5520.62;8844.14;14354.77;32528.04
0;004;1;15;15;11388.54;0.15;124.54;424.46;1176.67;2964.33
0;004;2;62;62;143259.77;70.59;452.73;1292.56;2950.13;7045.72
0;004;3;230;230;780702.65;294.87;1445.06;2987.62;4670.8;8451.79
0;004;4;1782;1781;13617278.33;1414.39;3545.34;5954.2;9832.36;19599.17
0;005;1;42;42;21887.71;44.08;164.09;454.55;746.12;1109.43
0;005;2;143;143;111453.8;90.24;308.08;560.26;967.27;2381.01
0;005;3;113;113;144587.19;148.09;582.22;895.89;1536.84;3644.87
0;005;4;129;128;420384.69;568.52;1245.25;2325.19;4006.23;12037.03
0;020;1;116;115;26052.84;14.47;88.24;157.02;270.94;735.9
0;020;2;159;159;74063.45;69.92;153.13;257.44;511.03;1664.29
0;020;3;162;162;122333.86;80.96;213.94;414.43;889.17;2239.19
0;020;4;205;205;499615.04;299.63;740.41;1555.23;2747.59;7368.78
0;021;1;1188;1184;464447.28;32;148.07;310.16;519.71;916.13
0;021;2;1238;1236;786792.98;102.91;258.95;451.86;745.16;1693.96
0;021;3;751;750;856709.91;172.96;460.2;786.58;1433.76;3392.68
0;021;4;648;647;1759320;345.49;942.18;1879.54;3538.65;7816.59
0;022;1;189;188;27003.33;30.4;58.43;79.65;130.03;279.22
0;022;2;281;281;63277.8;34.17;71.41;119.17;213.44;701.06
0;022;3;127;127;94242.37;77.74;167.54;341.47;820.18;3112.01
0;022;4;103;103;193658.07;125.28;542.95;1176.44;2265.03;6284.2
0;023;1;521;516;68992.4;11.07;51.76;91.01;156.37;341.6
0;023;2;285;285;119386.22;19.93;95.6;235.88;581.34;1217.28
0;023;3;155;155;120663.93;51.65;183.58;505.65;1142.25;2093.85
0;023;4;45;45;139233.64;220.59;862.63;1581.56;4181.01;8995.97
0;024;1;1067;1067;155972.23;50.82;89.66;123.71;175.63;308.01
0;024;2;2071;2070;403158.17;67.07;109.28;154.09;225.92;430.29
0;024;3;674;674;307569.01;81.29;168.84;272.4;492.71;1402.42
0;024;4;90;90;181381.4;233.48;779;1328.01;2506.82;4999.54
0;025;1;2818;2732;135081.9;3.74;17;37.75;59.71;139.84
0;025;2;220;215;28510.32;5.19;22.56;62.06;131.52;530.05
0;025;3;63;62;49788.93;3.4;27.33;70.45;348.08;1212
0;025;4;10;10;17762.29;32.61;244.3;1709.27;2171.21;6832.93
0;026;1;657;638;74921.19;2.6;39.23;74.01;132.18;345.32
0;026;2;457;447;100221.96;11.42;61.7;128.39;228.16;878.29
0;026;3;276;276;138022.2;18.68;106.59;238.55;589.34;1917.69
0;026;4;98;98;184597.92;77.43;465.07;1209.26;2392.19;6734.33
0;040;1;197;166;19575.76;2.06;14.25;37.57;95.78;691.29
0;040;2;220;183;36042.47;4.48;21.59;83.6;227.79;675.87
0;040;3;132;126;37372.31;6.93;39.09;156.52;343.76;1102.78
0;040;4;41;41;53189.01;15.13;65.96;286.18;1467.85;4856.29
0;041;1;422;399;99144.7;9.14;66.72;122.61;239.31;664.75
0;041;2;1174;1149;388981.19;18.46;96.26;193.29;363.4;1155.33
0;041;3;891;881;502243.49;55.61;163.8;347.8;710.75;1679.13
0;041;4;183;183;297766.38;94.79;488.3;999.33;2127.66;4961.32
0;042;1;2124;1624;188406.41;1.62;11.08;39.77;92.54;287.34
0;042;2;4354;4094;527289.64;3.98;26.46;68.27;141.02;435.16
0;042;3;2440;2392;678612.92;11.59;60.03;135.96;301.34;1024.56
0;042;4;386;385;380545.13;35.75;185.57;468.7;1183.86;3534.27
0;043;1;1341;1055;284795.16;4.08;97.54;259.94;371.36;554
0;043;2;690;615;176608.96;4.42;74.04;229.48;381.03;659.88
0;043;3;175;168;68922.29;17.92;82.94;240.15;409.86;1298.67
0;043;4;29;29;38721.27;29.41;473.45;1117.36;2091.35;2982.27
0;044;1;437;414;52526.23;2.13;13.88;47.33;125.78;483.36
0;044;2;907;890;196646.26;4.93;30.99;100.53;227.45;795.61
0;044;3;1117;1109;464255.15;9.41;61.58;194.62;478.29;1490.31
0;044;4;449;447;484399.08;32.32;256.29;679.3;1507.19;3282.06
0;045;1;747;730;72665.21;5.05;27.48;70.64;123.16;275.71
0;045;2;4388;4357;721301.7;10.95;46.86;100.3;190.63;536.77
0;045;3;2540;2535;935057.42;22.1;90.68;195.49;409.95;1281.07
0;045;4;1302;1302;1314570.8;65.9;265.56;619.82;1376.13;2985.78
0;046;1;1107;1054;113788.77;4.23;25.36;69.49;115.47;277.22
0;046;2;4145;4090;552106.89;8;38.34;85.91;157.38;411
0;046;3;2115;2101;627641.99;20.16;78.87;171.64;351.33;1005.34
0;046;4;810;810;865815.28;71.43;264.42;613.58;1321.05;3536.92
0;047;1;1566;1464;82977.78;3.22;11.85;35.09;78.08;166.01
0;047;2;4600;4496;400809.43;4.38;22.75;57.07;111.46;269.21
0;047;3;1630;1619;337866.85;11.27;46.99;104.15;222.55;733.67
0;047;4;186;186;178483.68;52.5;182.11;521.88;1344.84;3234.55
0;048;1;1550;1373;141023.37;2.6;9.09;23.77;79.8;343.33
0;048;2;2267;2132;257942.14;3.32;15.78;39.81;95.02;374.29
0;048;3;1763;1645;1089605.53;4.27;32.19;92.07;282.82;4722.08
0;048;4;76;75;69567.57;29.13;131.92;504.05;1409.73;2798.76
0;049;1;152;152;75518.56;59.09;204.28;358.8;705.98;1356.61
0;049;2;351;331;824161.41;7.82;171.74;1024.93;4949.1;7510.19
0;049;3;130;129;237924.84;31.29;240.85;623.5;1633.33;8346.94
0;049;4;120;120;371348.54;140.95;416.22;1591.86;4639.16;10047.29
0;050;1;226;216;62672.82;3.86;27.35;136.37;389.12;1063.65
0;050;2;317;294;153138.28;7.48;72.79;184.03;523.63;1737.41
0;050;3;137;135;125250.64;19.48;227.21;698.6;1348.08;2501.38
0;050;4;59;59;179932.74;145.95;947.57;2018.97;3016.87;11709.96
0;051;1;674;631;74519.12;4.13;20.14;67.74;142.11;407.62
0;051;2;192;182;55480.84;10.14;43.85;133.42;385.39;1160.85
0;051;3;30;30;25371.41;10.46;77.35;146.41;593.75;4937.56
0;051;4;8;7;7526.85;6.02;38.68;196.53;2942.02;4066.41
0;052;1;614;413;16910.92;1.49;5.98;15.01;63.11;138.83
0;052;2;561;532;61418.88;2.97;15.78;50.14;130.4;453.36
0;052;3;606;584;160725.78;6.93;43.19;122.16;309.53;987.05
0;052;4;278;277;245480.57;38.12;193.1;462.6;1236.78;3156.46
0;053;1;6369;4872;223458.42;1.58;5.81;18.01;55.9;154.53
0;053;2;4288;3905;396530.35;2.72;14.49;45.14;110.81;351.24
0;053;3;2540;2257;509648.37;3.27;24.87;83.34;221.34;977.2
0;053;4;425;425;606699.61;95.58;365.31;799.89;1785.02;4930.87
0;054;1;2663;2254;98682.02;2.07;7.73;19.25;56.23;135.25
0;054;2;1285;1153;73781.1;2.78;12.12;35.46;78.25;214.21
0;054;3;178;169;22572.24;6.37;22.94;61.96;142.99;401.3
0;054;4;7;7;4360.79;17.92;23.87;77.4;315.02;3817.67
0;055;1;534;477;39013.68;2.21;12.54;37.8;90.99;311.58
0;055;2;511;495;80461.25;6.72;31.95;80.67;182.98;629.5
0;055;3;339;334;110759.73;10.37;66.56;166.18;391.05;1198
0;055;4;158;157;192398.52;40.12;318.33;745.88;1724.59;3837.26
0;056;1;853;587;27397.91;1.46;6.74;21.08;59.3;174.84
0;056;2;350;327;40106.46;4.09;19.99;58.95;150.45;384.77
0;056;3;115;115;30924.66;12.43;46.86;127.99;358.95;936.02
0;056;4;30;30;44409.47;65.01;337.33;830.28;1717.53;4851.27
0;057;1;9021;4633;84417.82;0.91;3.73;8.05;16.75;65.86
0;057;2;1186;958;44326.35;1.8;7.28;17.68;48.03;167.98
0;057;3;147;138;26068.17;3.69;30.65;74.41;208.44;688.4
0;057;4;11;11;8751.45;18.13;91.09;551.22;1224.03;3314.44
0;058;1;11348;1593;108859.18;1.21;4.81;26.38;81.8;219.61
0;058;2;5908;2377;282103.22;1.93;16.35;59.58;129.71;406.56
0;058;3;1630;1303;330046.9;5.86;50.25;122.91;277.31;905.54
0;058;4;231;229;268274.84;22.42;199.22;603.85;1425.19;3793.31
0;070;1;330;329;33358.65;27.48;52.54;77.88;106.9;254.92
0;070;2;168;168;28018.84;28.38;57.88;94.86;210.75;655.75
0;070;3;29;29;12258.97;53.7;137.06;209.34;544.65;1892.12
0;070;4;3;3;2886.3;228.8;228.8;457.17;2200.33;2200.33
0;071;1;3273;3259;179004.12;9.08;29.78;49.73;70.04;111.06
0;071;2;1707;1704;132752.57;13.19;42.05;64.52;88.19;171.37
0;071;3;98;97;18013.63;16.59;61.1;93.63;134.48;815.94
0;071;4;7;7;6408.36;31.47;113;459.41;2010.48;2025.85
0;072;1;2272;2237;124805.37;6.67;26.69;46.4;65.67;129.94
0;072;2;419;412;49442.83;9.9;37.06;57.06;84.84;299.48
0;072;3;43;43;9689.89;6.69;18.58;80.07;239.69;1179.83
0;072;4;3;3;6763.54;386.98;386.98;610.67;5765.89;5765.89
0;073;1;6293;6226;190907.24;6.48;12.7;21.91;43.15;72.55
0;073;2;2203;2197;83288.67;7.06;15.62;27.58;46.66;87.4
0;073;3;188;188;15647.92;10.01;18.09;30.33;61.22;214.46
0;073;4;19;19;12851.85;35.1;88.4;440.1;1004.94;2370.45
0;080;1;226;223;27767.16;6.62;33.41;69.91;136.48;451.46
0;080;2;85;81;13332.96;10.46;34.38;103.38;211.83;464.52
0;080;3;21;21;6273.36;14.22;95.19;157.21;281.36;1199.1
0;080;4;2;2;2672.31;36.11;36.11;1336.15;2636.2;2636.2
0;081;1;244;203;31952.19;2.48;28.33;89.66;250.85;465.42
0;081;2;330;296;51899.53;3.25;31.14;91.21;225.75;587.85
0;081;3;86;82;14259.21;8.11;42.29;114.65;190.43;570.55
0;081;4;3;3;818.07;98.17;98.17;311.42;408.48;408.48
0;082;1;853;707;38685.85;1.98;7.04;18.63;51.57;231.56
0;082;2;1272;1200;138307.98;3.02;17.24;45.86;127.53;460.62
0;082;3;414;404;138710.07;8.95;53.22;157.55;417.77;1096.02
0;082;4;31;31;34828.94;21.43;238.12;761.89;1420.68;3389.01
0;090;1;68;68;6341.66;27.59;43.97;67.03;113.99;304.92
0;090;2;105;105;43537.99;42.1;130.18;285.85;601.74;1335.37
0;090;3;46;46;39661.16;177.4;344.91;637.39;1284.28;2419.09
0;090;4;97;97;165965.05;335.38;677.55;1104.96;2318.89;5118.37
0;091;1;296;296;62864.29;64.14;118.26;173.32;235.96;459.25
0;091;2;164;164;44961.49;60.83;124.46;184.87;286.84;855.89
0;091;3;41;41;27774.86;119.87;306.14;472.43;744.02;2417.57
0;091;4;77;77;120619.92;162.79;456.7;811.16;2059.01;6539.48
0;092;1;2542;2540;380353.65;46.65;83.93;124.49;193.36;321.22
0;092;2;461;461;100715.87;53.06;105.05;166.86;258.62;572.67
0;092;3;59;59;35256.71;51.68;180.79;322.79;625.57;2026.17
0;092;4;5;5;6000.59;293.41;594.27;1592.84;1657.33;1862.74
0;093;1;6552;6546;600286.51;35.75;57.62;77.44;106.62;190.3
0;093;2;963;961;137081.38;38.62;66.34;90.18;138.84;349.47
0;093;3;75;75;30206;51.65;83.33;125.45;417.96;1771.65
0;093;4;8;8;17900.73;323.66;1035.76;1945.09;3421.32;4772.7
0;094;1;1506;1495;139661.75;26.27;47.38;66.41;99.33;244.17
0;094;2;389;386;68117.25;24.85;54.6;89.1;180.29;419.96
0;094;3;58;58;84761.24;44.58;91.03;339.93;681.65;3960.58
0;094;4;16;16;57468.67;101.14;1267.65;2338.83;4115.76;12028.59
0;095;1;376;376;32317.91;25.67;50.89;70.95;104.37;205.82
0;095;2;103;103;10848.29;38.56;61.64;84.31;135.07;243.85
0;095;3;7;7;1124.78;8.89;73.45;140.5;313.45;348.32
0;096;1;741;741;69791.97;32.12;50.31;70.73;102.7;204.05
0;096;2;217;217;29177.42;34.34;66.36;90.98;143.88;324.59
0;096;3;14;14;16193.23;29.84;34.47;133.57;464.58;12119.18
0;097;1;8555;8531;485288.4;17.83;35.02;48.28;65.4;117.84
0;097;2;997;992;87618.52;16.37;37.88;58.05;93.53;252.51
0;097;3;55;55;13498.97;25.45;56.03;90.36;210.04;738.77
0;097;4;6;6;22594.82;79.03;223.03;1887.87;8785.86;9731.15
0;098;1;11669;11631;1003741.11;27.12;50.48;71.45;106.01;186.03
0;098;2;1781;1771;216343.6;22.21;53.25;81.11;133.6;310.44
0;098;3;136;135;68134.32;21.08;65.23;148.17;383.84;2676.38
0;098;4;20;20;67228.85;76.27;341.61;808.3;2682.23;20347.82
0;110;1;427;408;49901.02;4.8;43.1;85.78;143.11;310.21
0;110;2;768;745;190339.44;7.59;57.43;112.88;228.31;972.89
0;110;3;589;586;454896.36;18.74;142.41;401.83;902.8;2723.45
0;110;4;123;123;282259.11;49.16;353.68;1208.45;2934.66;6477.73
0;111;1;1859;1661;69932.42;1.67;7.73;20.77;65.65;126.26
0;111;2;1559;1486;106078.13;2.3;12.73;35.03;84.6;210.86
0;111;3;331;325;40658;4.54;19.62;55.54;121.76;378.83
0;111;4;18;18;12118.35;43.25;90.47;247.56;877.38;4433.26
0;112;1;669;585;19851.44;0.95;5.63;17.15;42.24;115.34
0;112;2;330;304;44315.72;1.7;8.85;21.31;61.52;336.86
0;112;3;145;138;28068.35;2.74;23.91;70.59;189.4;1152.17
0;112;4;14;14;15264.77;30.04;167.12;246.2;1076.51;5714.47
0;113;1;6844;6000;329388.65;2.24;9.89;28.48;73.79;192
0;113;2;4705;4277;390311.25;2.94;14.57;45.06;104.89;301.58
0;113;3;786;751;177778.07;4.84;25.6;89.2;223.78;1019.09
0;113;4;70;69;61547.08;19.82;156.11;411.85;1138.84;3181.63
0;114;1;3352;3229;212321.26;7.89;35.24;51.92;72.95;167.6
0;114;2;910;875;140435.42;3.6;22.67;59.47;136.34;540.77
0;114;3;252;248;186037.85;8.92;63.05;210.95;897.21;3028.6
0;114;4;42;42;82049.59;210.26;634.89;1602.54;2665.2;4204.38
0;115;1;2263;1970;115026.76;2.73;12.46;30.01;71.57;184.8
0;115;2;2000;875;198547.32;2.5;20.8;60.09;120.89;349.99
0;115;3;226;210;64677.44;5.34;39.79;104.9;323.32;1260.46
0;115;4;44;44;35629.39;11.91;97.96;367.58;1219.22;2682.93
0;120;1;242;242;81540.92;58.56;168.03;292.71;428.69;696.35
0;120;2;652;651;332283.47;143.07;245.83;385.54;613.51;1351.12
0;120;3;374;374;327327.56;205.46;372.35;599.02;1029.18;2341.25
0;120;4;237;237;654067.71;255.86;867.76;1750.69;3438.81;9836.69
0;121;1;1018;998;161684;21.32;55.23;96.51;186.5;541.59
0;121;2;1579;1556;542759.4;27.36;84.74;186.15;409.48;1241.34
0;121;3;911;904;730554.31;45.51;205.6;442.69;988.66;2878.42
0;121;4;438;438;1202643.96;275.06;800.98;1648.79;3037.65;8041.42
0;122;1;146;143;37243.27;25.95;48.28;84.71;158.26;591.14
0;122;2;160;159;86942.08;19.1;100.14;243.83;652.23;2143.19
0;122;3;136;135;140127.31;118.32;267.71;628.25;1351.8;3273.54
0;122;4;123;123;382965.81;250.79;962.48;1896.67;3755.9;9449.39
0;130;1;7;7;13801.55;13.42;33.61;1129.08;2090.42;8655.67
0;130;2;64;64;73763.38;309.42;481;888.92;1507.62;2860.01
0;130;3;261;260;438410.61;237.16;723.6;1316.92;2364.86;4255.29
0;130;4;1301;1301;3792208.8;538.59;1252.89;2252.06;3754.01;7431.63
0;131;1;55;50;40755.76;2.06;28.78;388.98;1832.67;2479.74
0;131;2;168;160;176634.16;19.97;230.09;619.5;1735.97;3604.33
0;131;3;315;308;414319.21;73.42;447.88;1012.49;2034.6;3596.42
0;131;4;101;101;239285.78;146.91;861.18;1902.72;2963.19;6500.88
0;132;1;8;4;229.29;14.25;17.88;21.67;96.76;171.69
0;132;2;11;11;345.15;0.57;4.09;19.86;63.75;116.9
0;132;3;11;11;590.47;3.86;11.75;55.95;86.85;144.54
0;132;4;5;4;220.28;7.11;23.78;42.16;86.36;128.85
0;133;1;645;642;130251.41;12.63;51.4;115.61;220.63;715.4
0;133;2;984;774;196865.73;4.13;36.3;119.46;292.12;893.02
0;133;3;1706;1654;878873.31;16.26;111.82;273.33;585.11;1918.81
0;133;4;654;650;803919.24;59.25;282.55;671.98;1554.83;3998.96
0;134;1;578;573;132864.65;25.58;82.73;145.99;225.08;665.7
0;134;2;1908;1906;551504.97;39.17;105.07;178.12;289.55;1112.93
0;134;3;1673;1670;810802.91;47.86;148.66;266.01;536.86;1438.36
0;134;4;483;483;515848.61;52.07;239.07;586.2;1314.82;3369.82
0;135;1;469;441;22412.27;2.55;11.63;28.48;64.55;160.98
0;135;2;600;591;64753.47;4.98;29.43;68.86;138.83;369.47
0;135;3;308;308;92915.83;17.69;82.99;184.11;359.05;1167.52
0;135;4;72;72;72122.21;20.6;235;574.56;1222.49;2876.9
0;136;1;709;645;169036.28;2.81;41.27;93.25;243.06;1023.94
0;136;2;4014;3876;1266137.14;7.39;63.39;142.82;383.8;1258.75
0;136;3;3846;3802;2624681.3;27.81;165.22;427.05;864.7;2344.73
0;136;4;595;593;991594.39;60.89;355.97;896.17;2150.35;5846.06
0;137;1;602;587;102357.46;5.68;36.3;77.71;177.49;689.43
0;137;2;1739;1729;840681.78;26.39;129.8;293.53;584.8;1549.15
0;137;3;2366;2357;1918761.58;54.94;245.8;514.85;1058.68;2482.92
0;137;4;1770;1767;2802227.8;143.12;471.46;1068.17;1972.72;4660.86
0;138;1;154;149;7648.07;5.93;18.93;39.18;68.06;138.08
0;138;2;87;82;5544.31;15.84;35.85;56.34;85.43;142.21
0;138;3;37;36;2523.84;5.76;28.18;42.43;73.17;241.17
0;138;4;14;13;3887.47;6.51;12.31;36.88;85.64;3361.11
0;139;1;7407;7323;924671.01;12.48;38.51;73.52;146.84;392.87
0;139;2;9413;9369;3047225.22;25.76;99.22;213.69;379.68;1054.38
0;139;3;7902;7886;4169260.64;47.81;181.74;335.03;626;1649.71
0;139;4;3027;3019;3480530.92;77.13;336.65;700.98;1440.63;3537.66
0;140;1;3831;3582;700849.47;8.7;61.44;132.33;247.33;558.16
0;140;2;9211;8938;2686652.35;20.17;99.79;200.33;354.86;966.77
0;140;3;8567;8445;4109263.14;43.36;157.17;301.86;561.03;1521.81
0;140;4;2800;2794;3151939.23;93.09;337.68;708.2;1469;3556.24
0;141;1;6321;6041;334826.3;3.32;11.37;29.13;63.26;186.84
0;141;2;3846;3722;482166.65;5.14;21.56;53.98;127.69;372.41
0;141;3;1521;1497;279411.44;6.13;30.48;81.55;215.35;714.73
0;141;4;178;176;105948.29;14.43;89.1;303.65;796.26;1990.17
0;142;1;164;149;20015.28;3.14;15.98;53.67;142.88;382.95
0;142;2;534;507;118173.81;2.79;43.11;101.98;255.47;870.53
0;142;3;392;384;150001.14;9.6;80.52;198.65;474.29;1551.18
0;142;4;122;122;167582.81;91.51;340.99;853.32;1725.76;4246.15
0;143;1;832;754;49705.79;2.25;16.21;39.26;81.99;197.57
0;143;2;1326;1278;204686.29;4.06;34;80.68;165.87;544.95
0;143;3;716;702;247245.86;11.22;69.23;163.38;385.99;1480.4
0;143;4;189;188;210269.21;49.45;226.74;525.17;1386.33;3286.38
0;144;1;9536;6327;394365.82;2.24;11.51;31.73;75.99;205.51
0;144;2;8778;7428;1132693.49;3.91;26.13;79.49;177;506.33
0;144;3;4110;3980;1548248.69;14.14;77.07;189.08;411.91;1349.54
0;144;4;876;870;959926.79;57.21;265.26;591.13;1420.62;3857.23
0;160;1;4;4;1107.24;135.36;147.53;228.42;406.09;515.04
0;160;2;13;13;3389.09;58.14;192.46;273.92;282.1;485.4
0;160;3;39;39;17172.63;135.94;263.92;336.07;622.68;901.1
0;160;4;50;50;56445.32;234.42;316.51;532.4;787.56;4173.59
0;161;1;151;151;16594.63;22.54;53.56;80.81;146.6;264.77
0;161;2;254;253;39558.96;25.38;54.93;102;203.24;398.97
0;161;3;232;230;78731.54;29.99;91.03;197.7;432.63;1184.44
0;161;4;85;84;164034.51;164.63;487.31;1307.05;2291.45;6466.2
0;162;1;28;28;19690.57;108.76;628.29;734.86;815.33;1410.44
0;162;2;78;78;68351.71;407.79;649.15;804.3;927.15;1743.7
0;162;3;358;358;385146.61;456.99;722.38;933.04;1205.94;2178.64
