vrai_hop;rdrg;mean;p5;p25;p50;p75;p95
0;001;33;8;14;20;45;94
0;002;46;17;23;30;51;145
0;003;26;2;18;23;31;59
0;004;62;12;31;52;80;153
0;005;30;5;13;22;37;81
0;020;21;2;7;13;26;68
0;021;17;3;6;9;17;56
0;022;14;2;5;7;16;47
0;023;12;1;3;6;11;47
0;024;8;2;3;4;6;26
0;025;3;1;1;2;2;7
0;026;15;1;2;4;13;63
0;040;13;1;2;5;13;55
0;041;13;1;4;9;17;42
0;042;19;2;7;13;24;57
0;043;7;1;2;4;6;20
0;044;17;1;2;8;19;65
0;045;19;2;5;10;20;68
0;046;9;1;3;6;10;27
0;047;8;1;3;5;9;21
0;048;8;1;2;4;8;25
0;049;16;1;6;10;18;44
0;050;13;1;4;8;14;41
0;051;5;1;2;4;5;12
0;052;8;1;1;4;9;28
0;053;5;1;1;2;5;17
0;054;3;1;1;2;4;9
0;055;12;1;3;7;14;38
0;056;7;1;2;3;7;27
0;057;2;1;1;1;2;6
0;058;4;1;1;1;3;19
0;070;4;1;1;2;5;10
0;071;2;1;1;1;2;4
0;072;2;1;1;1;2;4
0;073;2;1;1;1;2;2
0;080;5;1;2;4;6;14
0;081;5;1;2;3;6;13
0;082;6;1;2;4;7;22
0;090;17;1;2;12;22;61
0;091;9;1;3;4;10;28
0;092;2;1;1;2;3;5
0;093;2;1;1;2;2;3
0;094;4;1;1;2;3;12
0;095;3;1;2;2;3;6
0;096;3;1;2;2;3;5
0;097;2;1;1;2;2;4
0;098;2;1;1;2;2;4
0;110;8;1;2;4;9;31
0;111;5;1;2;4;7;16
0;112;4;1;1;3;4;11
0;113;3;1;2;3;4;7
0;114;4;1;1;2;4;13
0;115;1;1;1;1;1;2
0;120;14;5;9;11;15;33
0;121;13;2;4;9;16;38
0;122;15;1;2;7;16;56
0;130;25;5;12;19;31;62
0;131;9;1;3;8;14;18
0;132;10;1;2;6;14;28
0;133;10;1;2;6;13;33
0;134;11;2;5;8;13;27
0;135;11;1;3;7;14;34
0;136;10;1;3;6;13;32
0;137;15;2;7;12;19;39
0;138;5;2;3;4;6;10
0;139;10;2;4;6;11;27
0;140;11;1;5;9;14;30
0;141;5;1;2;4;6;11
0;142;10;1;3;7;12;28
0;143;9;1;3;6;10;25
0;144;6;1;1;3;7;19
0;160;15;7;9;11;15;30
0;161;7;1;2;3;8;24
0;162;23;5;12;18;28;57
0;163;15;7;9;11;16;35
0;165;17;7;10;14;19;41
0;166;12;7;8;10;13;25
0;167;7;1;2;2;9;22
0;168;12;2;4;8;14;40
0;169;16;1;8;11;17;39
0;170;15;2;6;11;17;43
0;171;7;2;3;4;8;21
0;172;47;7;17;31;62;150
0;173;7;1;2;3;7;25
0;174;5;1;2;4;6;14
0;175;3;1;1;2;3;9
0;176;3;1;2;2;2;7
0;177;5;1;2;3;5;16
0;178;15;1;3;8;17;54
0;179;2;1;1;2;2;3
0;180;19;1;3;10;24;66
0;190;8;1;2;5;9;24
0;191;5;1;2;2;6;17
0;192;2;1;1;2;2;6
0;193;25;1;7;20;36;62
0;194;13;2;6;9;16;34
0;195;9;1;4;7;11;26
0;196;4;1;1;1;3;16
0;197;8;1;2;4;9;26
0;198;5;1;1;3;6;15
0;199;6;1;2;4;8;18
0;200;9;1;2;5;11;29
0;201;6;1;2;3;7;18
0;202;5;1;1;3;6;14
0;203;3;1;1;2;4;9
0;204;6;1;1;3;7;18
0;205;9;1;3;5;9;35
0;206;9;1;2;5;11;29
0;207;7;1;2;4;8;22
0;220;12;2;3;6;15;40
0;221;16;4;7;11;18;45
0;222;6;1;2;3;6;18
0;223;10;2;5;7;11;27
0;224;9;1;3;6;11;29
0;225;4;1;2;3;4;8
0;226;3;1;1;2;3;8
0;227;4;1;2;3;5;10
0;228;2;1;1;2;3;5
0;229;12;1;3;7;15;41
0;240;9;1;2;5;11;30
0;241;7;1;2;4;8;20
0;242;7;1;2;5;8;22
0;243;5;1;1;2;5;16
0;244;6;1;3;5;7;15
0;245;7;1;3;5;9;20
0;246;9;1;3;7;11;28
0;247;7;1;3;5;9;22
0;248;10;2;4;8;12;28
0;249;4;1;2;3;4;12
0;250;5;1;2;3;6;18
0;260;15;2;6;10;18;46
0;261;16;2;7;12;20;44
0;262;10;2;3;6;11;32
0;263;4;1;2;3;4;9
0;264;13;1;2;7;15;44
0;280;13;1;4;9;16;39
0;281;10;1;2;6;12;31
0;282;8;1;3;6;9;21
0;283;9;1;2;5;10;28
0;284;7;1;3;5;9;20
0;300;29;5;8;13;33;111
0;301;23;6;9;14;29;66
0;302;11;4;6;8;11;31
0;303;12;5;8;9;12;31
0;304;9;3;5;6;8;21
0;305;40;4;10;24;56;128
0;306;11;2;4;6;9;39
0;307;6;1;2;5;7;22
0;308;22;4;8;13;27;69
0;309;14;1;2;5;15;60
0;310;6;2;3;4;6;14
0;311;7;1;1;2;5;27
0;312;26;1;4;15;35;94
0;313;5;1;2;2;4;16
0;314;3;1;2;2;3;5
0;315;4;1;1;2;3;10
0;316;2;1;1;2;2;4
0;317;4;1;1;2;3;10
0;318;4;1;1;2;3;15
0;319;4;1;1;2;3;11
0;320;6;1;2;2;6;25
0;340;15;1;3;9;20;50
0;341;19;1;6;14;27;55
0;342;8;1;1;2;8;36
0;343;16;2;6;11;21;44
0;344;15;2;7;10;18;37
0;345;13;2;5;9;15;39
0;346;9;1;3;5;10;27
0;347;9;1;2;5;10;29
0;348;10;1;3;7;13;32
0;349;9;1;2;4;10;33
0;350;9;1;2;5;11;30
0;351;9;1;2;4;10;30
0;360;27;2;7;17;35;86
0;361;7;1;2;2;6;28
0;362;6;2;4;5;7;11
0;363;3;1;2;2;4;7
0;364;5;1;1;2;4;15
0;380;18;2;7;13;24;55
0;381;10;1;4;7;12;28
0;382;13;1;3;7;16;40
0;383;8;1;3;5;9;23
0;384;8;1;1;3;10;30
0;385;5;1;1;3;6;18
0;400;27;2;8;17;35;92
0;401;9;3;5;7;9;20
0;402;24;2;6;16;35;70
0;403;5;2;3;4;5;8
0;404;3;1;2;3;4;6
0;405;11;2;3;5;12;41
0;420;8;1;3;5;9;22
0;421;7;1;2;3;8;23
0;422;8;1;3;5;10;27
0;423;7;1;1;3;5;24
0;424;7;1;2;4;8;25
0;440;17;7;10;13;19;41
0;441;18;3;10;16;22;46
0;442;11;4;6;8;11;29
0;443;9;2;4;6;9;26
0;444;4;1;1;2;3;17
0;445;5;1;2;3;5;19
0;446;3;1;2;2;4;9
0;447;7;1;2;2;5;30
0;460;12;1;4;8;15;36
0;461;10;1;2;5;12;33
0;462;6;1;2;3;7;16
0;463;8;1;3;5;9;23
0;464;3;1;2;2;3;6
0;465;2;1;1;2;3;6
0;466;5;1;2;3;6;18
0;467;6;1;2;3;7;21
0;468;6;1;2;3;7;21
0;480;8;3;5;7;9;15
0;481;4;1;2;3;5;10
0;482;6;2;3;4;6;13
0;483;2;1;1;2;2;5
0;484;4;1;2;2;4;11
0;500;11;1;2;6;13;36
0;501;5;1;2;3;6;16
0;510;8;3;4;6;9;20
0;511;11;2;4;8;13;32
0;512;8;2;4;6;8;20
0;513;4;1;2;3;5;8
0;514;3;1;2;2;4;6
0;515;4;1;1;2;3;12
0;516;3;1;1;2;3;8
0;517;3;1;1;2;2;11
0;518;6;1;2;3;6;21
0;530;12;1;2;6;14;39
0;531;5;1;2;4;5;12
0;532;3;1;1;2;3;10
0;540;7;4;5;6;7;10
0;541;6;2;4;5;6;13
0;542;5;3;4;5;5;9
0;543;3;1;1;2;4;10
0;544;2;1;1;1;2;4
0;560;5;3;4;5;5;6
0;561;4;1;2;3;5;8
0;562;2;1;1;2;2;5
0;563;5;1;2;3;5;15
0;564;2;1;1;1;2;5
0;565;1;1;1;1;1;2
0;566;4;1;1;2;4;10
0;580;3;1;2;3;4;4
0;581;3;1;2;3;4;4
0;583;42;17;23;36;58;81
0;590;111;12;98;114;131;182
0;591;63;2;6;73;98;146
0;592;93;13;74;88;125;154
0;593;59;2;40;62;84;108
0;600;73;14;58;72;91;122
0;601;46;3;27;41;62;89
0;602;43;10;27;42;58;76
0;603;30;2;19;27;39;65
0;610;49;5;20;40;70;133
0;611;25;3;12;24;33;55
0;612;26;6;14;22;35;55
0;613;25;12;15;22;31;48
0;614;18;2;10;17;25;37
0;620;39;4;15;28;52;114
0;621;20;0;8;16;26;44
0;622;17;5;9;13;23;42
0;623;14;2;6;11;18;39
0;624;9;1;2;7;12;23
0;625;19;2;9;18;25;45
0;626;13;2;6;12;19;28
0;630;26;6;14;20;29;71
0;631;32;5;12;23;40;92
0;632;8;1;2;4;6;33
0;633;12;1;3;7;14;41
0;634;10;1;5;8;13;25
0;635;10;1;3;6;10;17
0;636;7;1;3;5;8;22
0;637;5;1;2;4;6;12
0;638;3;1;1;2;4;9
0;639;11;1;4;7;14;36
0;640;7;1;2;4;8;22
0;650;10;3;5;7;11;27
0;651;6;1;2;2;5;24
0;660;6;2;2;6;10;10
0;661;5;1;2;3;6;16
0;662;6;1;3;5;7;14
0;663;8;1;2;5;10;23
0;664;7;1;3;5;8;20
0;680;17;2;4;8;20;57
0;681;12;1;2;5;16;45
0;682;9;1;3;5;9;30
0;683;9;1;2;4;10;34
0;690;19;1;4;13;29;57
0;691;12;1;3;7;16;39
0;692;8;1;2;3;7;33
0;693;4;1;2;2;4;9
0;694;10;1;3;6;13;33
0;710;27;2;9;18;35;84
0;711;16;1;5;10;20;53
0;720;13;1;5;10;16;38
0;721;8;1;3;6;10;24
0;722;5;1;2;3;6;14
0;723;4;1;2;3;4;9
0;724;8;1;3;5;10;28
0;740;34;2;12;23;43;100
0;750;12;1;1;2;12;55
0;751;14;1;4;9;17;48
0;752;9;1;1;4;12;33
0;753;13;1;1;7;17;48
0;754;11;1;2;7;14;36
0;755;9;1;2;5;9;29
0;756;6;1;1;3;7;24
0;757;20;1;7;14;26;56
0;758;7;1;1;2;6;27
0;759;21;1;5;11;23;80
0;760;4;1;1;1;2;17
0;770;4;1;1;2;4;16
0;771;9;3;5;7;9;27
0;772;12;3;6;8;11;38
0;773;7;1;1;3;9;25
0;774;6;1;1;2;6;24
0;775;8;1;1;3;9;31
0;776;11;1;2;6;13;34
0;790;14;1;2;5;17;54
0;791;7;1;2;3;7;25
0;792;9;1;1;2;6;42
0;810;7;1;1;2;8;26
0;811;3;1;1;1;2;8
0;812;5;1;1;1;4;20
0;813;6;1;2;3;6;19
0;814;15;1;1;6;18;63
0;815;8;1;1;1;9;36
0;830;11;1;2;4;10;46
0;831;55;17;40;48;61;143
0;832;21;1;4;14;29;59
0;833;10;1;2;4;10;40
0;840;6;1;1;2;6;21
0;850;10;1;2;2;5;51
0;860;29;3;9;20;36;88
0;861;6;1;1;3;7;21
0;862;5;1;1;1;3;21
0;870;87;37;37;59;164;164
0;871;46;17;24;34;58;117
0;872;30;2;11;22;40;83
0;873;10;1;2;5;15;33
0;890;34;3;10;21;41;132
0;891;19;2;6;13;20;56
0;892;12;1;3;7;13;46
0;893;7;1;3;5;8;22
0;894;6;1;2;4;6;18
0;910;35;2;11;23;47;104
0;911;24;1;8;14;28;78
0;930;16;1;4;10;20;50
0;931;14;2;5;8;15;53
0;950;19;1;4;9;25;72
0;951;26;2;6;18;33;82
0;952;17;1;3;9;21;61
0;955;8;1;1;3;14;30
0;956;16;1;4;8;22;49
