vrai_hop;rdrg;SI;total;p5;p25;p50;p75;p95
0;281;1;1179933.05;872.79;1503.63;2574.43;3858.48;8669.23
0;281;2;8258839.85;982.18;1958.47;3355.04;5438.58;14852.14
0;281;3;17413161.33;1512.25;3506.87;5956.74;10011.92;19251.88
0;281;4;4489380.23;2796.58;6795.9;11947.29;17973.39;34415.96
0;282;1;7352818;1017.24;1863.58;2714.02;3838.29;6840.95
0;282;2;13126631.62;1398.44;2528.33;3652.87;5292.22;9513.81
0;282;3;7702143.97;1987.03;3999.61;6059.74;9200.05;18454.03
0;282;4;3578167.46;2175.15;6512.73;11469.12;21483.91;43051.43
0;283;1;1971228.2;675.16;994.09;1397.82;2289.46;5475.79
0;283;2;4228346.62;919.36;1635.53;2554.76;4416.24;8655.17
0;283;3;5982381.76;1318.18;3093.38;5554.3;8615.33;18701.99
0;283;4;2177951.11;1615.32;6463.42;11476.41;16702.66;36710.54
0;284;1;8943772.96;711.33;1429.08;2219.76;3220.32;5484.35
0;284;2;19456191.02;1144.96;2368.21;3495.14;5096.17;8899.09
0;284;3;15974419.1;2010.35;4206.77;6238.85;9249.29;16679.67
0;284;4;5967624.86;2699.53;6561.27;10904.15;17310.09;34435.05
0;301;1;93291818.01;5373.78;6136.42;6904.22;8100;14225.03
0;301;2;112933719.3;5516.01;6596.15;7896.36;11361.95;22310.48
0;301;3;49169515.91;5417.95;8294.09;12282.63;19843.6;40289.84
0;301;4;12337020.07;6671.49;13430.67;22497.76;35066.28;74872.51
0;302;1;108031968.69;5578.68;6845.45;7624.86;8705.94;13499.95
0;302;2;79634794.21;6264.87;7541.9;8711.61;11360.78;19734.94
0;302;3;14850073.95;7393.47;10129.92;14201.11;21439.7;49904.88
0;302;4;3357523.8;10375.49;16906.98;28001.71;44189.7;82833.91
0;303;1;2064101.45;6305.39;12331.51;14061.32;15803.55;20110.44
0;303;2;1618304.97;5073.56;12324.06;14931.12;18506.71;28402.17
0;303;3;888049.47;9148.89;16065.63;19578.82;24527.64;39223.34
0;303;4;278088.2;19895.37;36444.08;39169.03;45575.67;97835.01
0;304;1;49389760.97;4454.1;6209.01;7268.14;8593.77;11719.51
0;304;2;20561742.23;5192.39;6979.91;8509.71;10866.12;17857.89
0;304;3;10607379.41;6172.91;8375.74;11337.53;17697.86;39136.79
0;304;4;2516480.38;13954.64;23461.58;35307.21;48448.4;103571.85
0;305;1;437543.06;2704.7;4202.53;6449.31;13097.3;22468.41
0;305;2;2920926.11;3186.55;5811.03;10077.03;17660.83;42438.49
0;305;3;10860074.14;4129.1;9425.74;17661.88;29651.44;61706.57
0;305;4;10319641.8;9869.83;18662.86;30622.47;48632.63;90981.9
0;308;1;16665663.65;2679.19;4385.23;5713.99;7791.51;17522.82
0;308;2;49233878.85;3755.32;5600.73;7703.17;12706.97;26273.65
0;308;3;46388477.79;4586.1;8092.9;12825.03;21061.41;39929.44
0;308;4;12196804.93;5460.82;11953.28;18815.48;30818.45;61943
0;309;1;4735529.58;1147.5;1664.26;2201.57;3821.81;8421.98
0;309;2;6241098.69;1345.86;2442.46;5562.97;9540.65;22656.19
0;309;3;5137737.97;3892.48;9668.59;14684.56;25964.69;56989.8
0;309;4;1504759.71;10736.88;16065.76;30462.23;38672.34;75921.01
0;310;1;46584438.61;1765.89;2436.59;3167.21;4172.81;6339.68
0;310;2;23777310.59;2193.18;3533.85;4561.55;6272.24;12609.55
0;310;3;8337037.62;2414.83;6000;8212.16;15209.04;31379.2
0;310;4;2120453.74;11760.97;18472.85;24727.38;40848.93;85734.7
0;312;1;402618.56;965.74;1322.31;2073.71;3534.99;7909.15
0;312;2;893008.61;1131.25;2242.92;5899.89;13814.59;57479.15
0;312;3;2429475.34;7919.4;16091.58;22675.05;31009.19;68142.96
0;312;4;1674008.09;18426.9;33450.4;64206.07;94455.64;203552.57
0;313;1;47156408.92;1134.45;1725.78;2202.79;2911.3;5340.84
0;313;2;23229802.86;1208.26;2281.71;3919.09;6408.64;19088.41
0;313;3;10578869.89;2442.04;5255.99;9660.5;20209.27;43829.05
0;313;4;3826381.29;3584.78;15918.84;25989.01;40705.26;81782.28
0;314;1;25861275.79;1146.83;1589.71;1933.23;2352.56;3278.02
0;314;2;7450552.61;1072.75;1738.13;2370.08;3542.83;9541.11
0;314;3;8729651.41;1274.33;3462.42;6999.89;12874.78;34127.36
0;314;4;5953630.01;4157.26;9761.24;17350.61;26210.95;48736.11
0;315;1;52145241.1;1111.65;1486.92;1838.06;2290.74;3355.3
0;315;2;50561494.67;1463;2617.24;4428.98;6335.86;14040.42
0;315;3;12679510.09;2353.33;6215.32;10568.41;18364.92;34978.99
0;315;4;3268805.6;5050.84;12593.01;22376.69;35225.69;78636.93
0;316;1;7877519.22;871.44;1166.32;1508.82;1910.24;2815.36
0;316;2;1899403.85;896.66;1378.6;1901.85;2832.2;7491.09
0;316;3;698088.3;965.9;2025.65;4945.06;10644.92;43966.46
